"time","OSLKO33","OSLKO33( volume )"
"2015-11-25 01:00","101.215","100000000"
"2015-11-26 01:00","101.3","50000000"
"2015-12-08 01:00","100.337","3000000"
"2016-01-07 01:00","101.9","24000000"
"2016-03-09 01:00","102.83","20000000"
"2016-05-11 02:00","103.25","20000000"
"2016-05-31 02:00","103.1","59000000"
"2016-06-08 02:00","103.36","11000000"
"2016-08-09 02:00","105.687","4000000"
"2016-09-22 02:00","104.938","13000000"
"2017-12-19 01:00","103.503","50000000"
"2018-01-24 01:00","101.99","1000000"
"2018-03-05 01:00","100.59","15000000"
"2018-04-23 02:00","100.672","31000000"
"2018-08-15 02:00","101.62","5000000"
"2020-11-03 01:00","107.733","1000000"
