"time","OSLKO25","OSLKO25( volume )"
"2013-02-27 01:00","99.68","6000000"
"2013-04-09 02:00","101.4","30000000"
"2013-06-11 02:00","100.6","5000000"
"2013-06-12 02:00","101.5","25000000"
"2013-06-13 02:00","101.66","18000000"
"2013-06-14 02:00","101.31","1000000"
"2013-06-27 02:00","101.1","1000000"
"2013-07-09 02:00","100.25","17000000"
"2013-09-02 02:00","98.9","1000000"
"2013-09-06 02:00","98.5","10000000"
"2013-09-10 02:00","97.63","25000000"
"2013-09-23 02:00","98.9125","53000000"
"2013-10-02 02:00","99.53","4000000"
"2013-10-08 02:00","99.9","100000000"
"2013-10-24 02:00","99.77","20000000"
"2013-12-03 01:00","101.25","1406000000"
"2013-12-05 01:00","101.15","387000000"
"2013-12-09 01:00","101.2742","40000000"
"2013-12-12 01:00","100.835","100000000"
"2013-12-13 01:00","101.3","7000000"
"2013-12-20 01:00","100.77","55000000"
"2014-01-10 01:00","101.35","3000000"
"2014-01-27 01:00","102.03","40000000"
"2014-02-26 01:00","101.87","54000000"
"2014-03-19 01:00","102.3","5000000"
"2014-03-24 01:00","101.6","9000000"
"2014-07-01 02:00","105.53","56000000"
"2014-08-29 02:00","107.06","20000000"
"2014-10-24 02:00","107.59","20000000"
"2014-10-28 01:00","108.63","20000000"
"2015-01-09 01:00","113.5","2000000"
"2015-01-29 01:00","113.7","6000000"
"2015-03-10 01:00","112.02","10000000"
"2015-03-16 01:00","112.25","150000000"
"2015-03-17 01:00","112.24","50000000"
"2015-03-18 01:00","112.31","85000000"
"2015-03-20 01:00","112.71","35000000"
"2015-03-26 01:00","111.74","10000000"
"2015-03-27 01:00","111.556","50000000"
"2015-03-30 02:00","111.74","25000000"
"2015-05-11 02:00","109.5","10000000"
"2015-05-15 02:00","109.25","1000000"
"2015-05-27 02:00","109.59","25000000"
"2015-06-05 02:00","108.45","10000000"
"2015-06-18 02:00","108.97","10000000"
"2015-06-23 02:00","108.16","35000000"
"2015-07-08 02:00","109.45","10000000"
"2015-07-30 02:00","109.4","15000000"
"2015-09-09 02:00","110.01","5000000"
"2015-09-29 02:00","109.05","50000000"
"2015-10-23 02:00","110","35000000"
"2015-12-04 01:00","109.27","10000000"
"2016-01-14 01:00","110.5","35000000"
"2016-06-24 02:00","110.83","4000000"
"2016-08-12 02:00","111.32","29000000"
"2016-08-18 02:00","111.75","20000000"
"2016-08-29 02:00","111.15","10000000"
"2016-09-13 02:00","110.9","10000000"
"2016-09-22 02:00","110.902","4000000"
"2016-11-08 01:00","110.21","3000000"
"2016-11-14 01:00","108.55","19000000"
"2016-11-16 01:00","108.92","2000000"
"2016-11-29 01:00","108.725","50000000"
"2016-12-21 01:00","108.31","17000000"
"2017-01-06 01:00","108.74","8000000"
"2017-01-23 01:00","108.881","8000000"
"2017-03-01 01:00","108.354","4000000"
"2017-06-01 02:00","109.4","5000000"
"2017-06-09 02:00","109.55","6000000"
"2017-08-18 02:00","109.525","20000000"
"2017-10-06 02:00","108.51","1000000"
"2017-12-05 01:00","109.252","16000000"
"2018-07-09 02:00","106.74","50000000"
"2018-08-21 02:00","106.926","3000000"
"2018-08-23 02:00","106.88","30000000"
"2018-09-05 02:00","106.446","40000000"
"2018-09-14 02:00","106.29","98000000"
"2019-12-06 01:00","104.51","5000000"
"2019-12-11 01:00","104.47","498000000"
"2020-02-27 01:00","105.0178","687000000"
"2020-04-24 02:00","106.7","20000000"
