"time","OSLKO31","OSLKO31( volume )"
"2015-03-02 01:00","99.1","5000000"
"2015-03-05 01:00","98.27","80000000"
"2015-04-16 02:00","98.35","4000000"
"2015-05-26 02:00","96.5","5000000"
"2015-06-03 02:00","96.99","5000000"
"2015-06-22 02:00","96.1","1000000"
"2015-08-03 02:00","97.52","1000000"
"2015-09-03 02:00","97.55","14000000"
"2015-09-09 02:00","97.36","37000000"
"2015-09-11 02:00","97.23","5000000"
"2015-09-17 02:00","96.13","60000000"
"2015-09-22 02:00","97.12","125000000"
"2015-09-23 02:00","96.76","5000000"
"2015-09-30 02:00","97.85","5000000"
"2015-10-01 02:00","97.25","35000000"
"2015-10-12 02:00","97.55","1000000"
"2015-11-25 01:00","97.893","72000000"
"2015-12-17 01:00","97","30000000"
"2016-04-06 02:00","100","1000000"
"2016-05-31 02:00","98.44","60000000"
"2016-06-06 02:00","99.2","2000000"
"2016-06-07 02:00","98.9","35000000"
"2016-07-13 02:00","100.55","100000000"
"2016-07-15 02:00","100.55","1000000"
"2016-09-22 02:00","99.2","3000000"
"2016-10-18 02:00","98.95","1000000"
"2016-10-27 02:00","98.78","1000000"
"2016-11-14 01:00","97.77","3000000"
"2016-11-16 01:00","97.95","12000000"
"2016-12-07 01:00","97.362","11000000"
"2016-12-21 01:00","97.814","5000000"
"2017-01-04 01:00","97.856","10000000"
"2017-01-23 01:00","98.5554","14000000"
"2017-02-10 01:00","98.875","4000000"
"2017-02-16 01:00","98.26","2000000"
"2017-03-13 01:00","98.25","50000000"
"2017-06-07 02:00","99.778","1000000"
"2017-06-09 02:00","99.65","1000000"
"2017-09-28 02:00","99.35","1000000"
"2017-10-23 02:00","99.47","1000000"
"2017-10-25 02:00","99.5","3000000"
"2017-12-07 01:00","100.25","2000000"
"2017-12-11 01:00","100.13","2000000"
"2018-01-08 01:00","99.61","4000000"
"2018-06-12 02:00","98.92","15000000"
"2018-08-15 02:00","99.285","5000000"
"2018-08-21 02:00","99.38","3000000"
"2019-05-15 02:00","99.21","8000000"
"2019-06-28 02:00","99.32","1000000"
"2019-11-11 01:00","98.99","1000000"
"2019-11-29 01:00","98.939","3000000"
"2019-12-18 01:00","99.03","33000000"
"2020-07-01 02:00","101.77","13000000"
"2020-07-08 02:00","101.9","13000000"
"2020-08-12 02:00","101.81","5000000"
