"time","OSLKO36","OSLKO36( volume )"
"2016-12-08 01:00","100.052","10000000"
"2016-12-09 01:00","99.9","50000000"
"2016-12-13 01:00","100.007","72000000"
"2016-12-16 01:00","100","60000000"
"2016-12-27 01:00","100","25000000"
"2017-01-17 01:00","100.498","1570000000"
"2017-02-09 01:00","100.469","50000000"
"2017-05-31 02:00","100.628","1525000000"
"2017-06-27 02:00","100.76","25000000"
"2017-07-06 02:00","100.842","30000000"
"2017-07-10 02:00","100.883","5000000"
"2017-07-24 02:00","100.95","50000000"
"2017-08-22 02:00","100.99","112000000"
"2017-08-23 02:00","100.966","10000000"
"2017-08-25 02:00","101","10000000"
"2017-08-28 02:00","100.998","25000000"
"2017-08-29 02:00","100.917","20000000"
"2017-09-26 02:00","100.883","55000000"
"2017-10-03 02:00","100.826","45000000"
"2017-10-25 02:00","100.886","7000000"
"2017-11-01 01:00","100.847","5000000"
"2017-11-06 01:00","100.851","33000000"
"2017-12-04 01:00","100.82","50000000"
"2017-12-13 01:00","100.845","6000000"
"2017-12-20 01:00","100.831","130000000"
"2018-01-26 01:00","100.923","22000000"
"2018-02-13 01:00","100.807","10000000"
"2018-03-02 01:00","101.15","45000000"
"2018-04-18 02:00","101.14","10000000"
"2018-05-09 02:00","101.124","1520000000"
"2018-06-26 02:00","101.07","1804000000"
"2018-08-28 02:00","101.18","20000000"
"2018-08-29 02:00","101.17","30000000"
"2018-09-07 02:00","101.157","15000000"
"2019-02-20 01:00","100.9172","19000000"
"2019-03-25 01:00","101.036","30000000"
"2019-05-03 02:00","101.1","10000000"
"2019-05-07 02:00","101.064","10000000"
"2019-07-01 02:00","101","30000000"
"2019-07-15 02:00","100.985","30000000"
"2019-09-17 02:00","100.975","2000000"
"2019-09-18 02:00","100.939","2000000"
"2019-12-18 01:00","100.69","53000000"
"2020-07-29 02:00","100.517","6000000"
