"time","OSLKO28","OSLKO28( volume )"
"2014-02-05 01:00","101.3","30000000"
"2014-02-12 01:00","100.7","95000000"
"2014-02-19 01:00","100.9","2000000"
"2014-02-24 01:00","100.74","2000000"
"2014-03-11 01:00","100.35","5000000"
"2014-04-15 02:00","100.75","85000000"
"2014-05-07 02:00","101.2","100000000"
"2014-05-09 02:00","101.38","5000000"
"2014-06-03 02:00","102.12","93000000"
"2014-06-17 02:00","102.45","17000000"
"2014-06-18 02:00","102.38","15000000"
"2014-07-09 02:00","104.02","20000000"
"2014-08-08 02:00","104.875","22000000"
"2014-10-07 02:00","104.84","4000000"
"2014-10-24 02:00","105.5","4000000"
"2015-03-06 01:00","109.2","50000000"
"2015-03-24 01:00","109.6","2000000"
"2015-04-16 02:00","109.2","60000000"
"2015-05-21 02:00","107.15","12000000"
"2015-11-10 01:00","106.58","22000000"
"2015-11-25 01:00","107.68","22000000"
"2016-01-13 01:00","107.95","2000000"
"2016-01-26 01:00","107.755","6000000"
"2016-02-04 01:00","108.2","6000000"
"2016-05-06 02:00","107.842","5000000"
"2016-10-05 02:00","108.003","2000000"
"2016-11-16 01:00","106.519","50000000"
"2017-01-23 01:00","106.615","5000000"
"2017-02-01 01:00","106.481","30000000"
"2017-02-17 01:00","106.725","2000000"
"2017-03-13 01:00","106.43","21000000"
"2017-05-31 02:00","107.45","10000000"
"2017-06-08 02:00","107.25","15000000"
"2017-12-27 01:00","106.345","4000000"
"2018-08-15 02:00","104.98","13000000"
"2020-02-24 01:00","102.45","300000000"
