"time","SPOL12 PRO","SPOL12 PRO( volume )"
"2013-12-02 01:00","101.1","1000000"
"2014-11-10 01:00","110.16","50000000"
"2015-04-29 02:00","110.72","41000000"
"2015-06-10 02:00","108.984","41000000"
"2017-05-09 02:00","109.32","30000000"
"2017-05-10 02:00","109.686","100000000"
"2017-05-31 02:00","110.08","2000000"
"2017-06-29 02:00","109.74","10000000"
"2017-08-08 02:00","109.9","88000000"
"2019-05-23 02:00","105.363","41000000"
"2019-06-20 02:00","105.55","13000000"
"2019-10-14 02:00","100.63","5000000"
"2019-11-29 01:00","104.216","9000000"
"2020-04-30 02:00","105.32","27000000"
"2020-11-30 01:00","104.661","30000000"
"2020-12-01 01:00","104.6222","30000000"
