"time","OSLKO26","OSLKO26( volume )"
"2013-03-14 01:00","102.27","10000000"
"2013-04-04 02:00","102.62","132000000"
"2013-04-09 02:00","103.01","5000000"
"2013-04-12 02:00","103.2","15000000"
"2013-04-17 02:00","103.3","10000000"
"2013-04-18 02:00","103.35","10000000"
"2013-04-19 02:00","102.75","16000000"
"2013-04-23 02:00","104.05","6000000"
"2013-04-29 02:00","104.3","1000000"
"2013-05-03 02:00","104.45","126000000"
"2013-05-30 02:00","102.95","200000000"
"2013-06-20 02:00","102.38","10000000"
"2013-06-24 02:00","101.6","8000000"
"2013-06-28 02:00","102.2","68000000"
"2013-07-02 02:00","101.9","3000000"
"2013-07-17 02:00","101.7","24000000"
"2013-07-31 02:00","101.71","4000000"
"2013-08-02 02:00","101.38","49000000"
"2013-08-14 02:00","100.77","100000000"
"2013-09-27 02:00","100.93","140000000"
"2013-10-04 02:00","100.95","45000000"
"2014-01-27 01:00","102.97","116000000"
"2014-01-29 01:00","103.21","5000000"
"2014-02-27 01:00","103.465","18000000"
"2014-02-28 01:00","103.29","30000000"
"2014-08-13 02:00","105.85","400000000"
"2014-10-24 02:00","107.2","100000000"
"2015-02-13 01:00","111.35","1000000"
"2015-07-15 02:00","108.26","103000000"
"2015-07-22 02:00","108.4","20000000"
"2015-08-13 02:00","109.61","1000000"
"2015-09-23 02:00","107.52","1000000"
"2015-10-01 02:00","109.2","1000000"
"2015-11-10 01:00","107.68","1000000"
"2015-12-04 01:00","107.954","1000000"
"2016-01-07 01:00","108.8","7000000"
"2016-02-04 01:00","109","2000000"
"2016-07-07 02:00","109.65","12000000"
"2016-11-14 01:00","107.12","14000000"
"2016-12-20 01:00","106.912","16000000"
"2017-03-13 01:00","106.95","7000000"
"2017-05-03 02:00","106.98","11000000"
"2017-05-04 02:00","106.99","5000000"
"2017-05-24 02:00","107.126","13000000"
"2017-06-08 02:00","107.126","4000000"
"2017-06-09 02:00","107.45","7000000"
"2017-06-27 02:00","105.266","15000000"
"2017-07-25 02:00","107.02","13000000"
"2017-12-05 01:00","106.81","12000000"
"2017-12-08 01:00","106.709","4000000"
"2018-01-23 01:00","105.977","2000000"
"2018-11-06 01:00","104.022","172000000"
"2018-12-18 01:00","103.87","12000000"
"2019-02-11 01:00","103.763","50000000"
"2019-03-05 01:00","103.591","125000000"
"2019-03-19 01:00","103.55","9000000"
"2019-05-02 02:00","103.18","18000000"
"2019-08-28 02:00","102.662","2000000"
"2020-01-30 01:00","101.718","5000000"
"2020-02-06 01:00","101.73","2000000"
"2020-02-12 01:00","101.66","11000000"
"2020-03-18 01:00","101.538","80000000"
"2020-04-03 02:00","101.91","10000000"
"2020-05-27 02:00","102.191","5000000"
"2020-06-29 02:00","101.965","5000000"
"2020-09-14 02:00","101.317","3000000"
"2020-09-23 02:00","101.195","19000000"
