"time","SPOL34 PRO","SPOL34 PRO( volume )"
"2015-08-13 02:00","100.85","100000000"
"2015-10-07 02:00","98.335","150000000"
"2015-10-23 02:00","98.8","3000000"
"2015-11-04 01:00","98.82","42000000"
"2015-12-04 01:00","98.09","1000000"
"2016-02-19 01:00","98.82","1000000"
"2016-02-29 01:00","99.885","150000000"
"2016-03-31 02:00","101.55","4000000"
"2016-04-20 02:00","101.385","7000000"
"2016-04-21 02:00","101.38","19000000"
"2016-05-12 02:00","101.62","20000000"
"2016-05-19 02:00","101","10000000"
"2016-08-09 02:00","102.55","10000000"
"2016-09-05 02:00","102.4","4000000"
"2016-09-22 02:00","102.0475","46000000"
"2016-12-12 01:00","100.213","100000000"
"2017-03-23 01:00","101.56","26000000"
"2017-04-25 02:00","101.92","26000000"
"2017-11-09 01:00","102.25","1000000"
"2017-12-20 01:00","100.099","35000000"
"2018-03-07 01:00","101.086","30000000"
"2018-04-06 02:00","101.12","8000000"
"2018-04-16 02:00","101.076","40000000"
"2018-05-30 02:00","101.388","10000000"
"2018-07-11 02:00","101.312","55000000"
"2018-08-17 02:00","101.4","97000000"
"2018-09-13 02:00","101.143","29000000"
"2018-09-21 02:00","101","3000000"
"2018-10-09 02:00","100.8","5000000"
"2018-10-16 02:00","100.8","15000000"
"2018-10-17 02:00","100.867","25000000"
"2018-10-22 02:00","100.77","10000000"
"2018-12-13 01:00","100.6","8000000"
"2018-12-14 01:00","100.655","30000000"
"2018-12-21 01:00","100.82","95000000"
"2019-04-26 02:00","100.875","95000000"
"2019-06-03 02:00","100.742","75000000"
"2019-06-04 02:00","100.83","61000000"
"2019-06-05 02:00","100.98","25000000"
"2019-08-14 02:00","100.99","113000000"
"2019-08-21 02:00","101.07","61000000"
"2019-09-04 02:00","100.95","64000000"
"2019-09-13 02:00","100.8","52000000"
"2019-09-17 02:00","100.754","27000000"
"2019-09-20 02:00","100.712","27000000"
"2019-10-08 02:00","100.7124","50000000"
"2019-10-30 01:00","100.505","13000000"
"2019-11-25 01:00","100.373","10000000"
"2019-12-10 01:00","100.32","5000000"
"2019-12-11 01:00","100.34","10000000"
"2020-01-23 01:00","100.534","50000000"
"2020-01-29 01:00","100.63","35000000"
"2020-02-13 01:00","100.587","1000000"
"2020-03-04 01:00","100.854","59000000"
"2020-03-12 01:00","100.767","14000000"
"2020-03-20 01:00","100.61","5000000"
"2020-04-30 02:00","101.674","26000000"
"2020-05-26 02:00","101.98","3000000"
"2020-06-19 02:00","101.92","70000000"
"2020-08-11 02:00","101.94","138000000"
"2020-08-17 02:00","100.861","64000000"
