"time","OSLKO30","OSLKO30( volume )"
"2014-12-15 01:00","102.08","10000000"
"2014-12-16 01:00","102.85","35000000"
"2015-03-11 01:00","102.3","200000000"
"2015-03-26 01:00","101.93","10000000"
"2015-04-07 02:00","102.4","2000000"
"2015-04-22 02:00","102.33","28000000"
"2015-04-23 02:00","102.32","173000000"
"2015-06-09 02:00","98.97","18000000"
"2015-06-24 02:00","98.74","43000000"
"2015-06-30 02:00","98.5","10000000"
"2015-08-25 02:00","101.16","50000000"
"2015-09-24 02:00","98.25","4000000"
"2015-09-29 02:00","99.36","4000000"
"2015-10-14 02:00","99.7","6000000"
"2015-10-19 02:00","99.65","54000000"
"2015-11-20 01:00","99.4","20000000"
"2016-01-25 01:00","100.53","4000000"
"2016-03-14 01:00","101.78","50000000"
"2016-04-04 02:00","102.7","25000000"
"2016-04-26 02:00","101.43","25000000"
"2016-05-31 02:00","101","10000000"
"2016-06-24 02:00","102.3","5000000"
"2016-09-22 02:00","103.036","2000000"
"2016-10-10 02:00","102.3","3000000"
"2017-03-17 01:00","100.05","3000000"
"2017-10-10 02:00","101.554","70000000"
"2017-12-01 01:00","102.2","20000000"
"2017-12-19 01:00","102.243","40000000"
"2018-02-01 01:00","100.3","25000000"
"2018-02-06 01:00","100.67","45000000"
"2018-02-19 01:00","100.515","25000000"
"2018-04-16 02:00","100.41","20000000"
"2018-06-19 02:00","100.74","25000000"
"2018-07-13 02:00","100.81","25000000"
