Date,Close
2013-01-01,1.562
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-13,1.629
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,0.0
2013-02-04,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-08,0.0
2013-02-09,1.634
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.0
2013-02-17,1.699
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-04,1.69
2013-03-05,1.683
2013-03-06,1.68
2013-03-07,1.68
2013-03-08,1.679
2013-03-11,1.632
2013-03-12,1.632
2013-03-13,1.62
2013-03-14,1.589
2013-03-15,1.583
2013-03-17,1.583
2013-03-18,1.598
2013-03-19,1.614
2013-03-20,1.64
2013-03-21,1.64
2013-03-22,1.68
2013-03-25,1.674
2013-03-26,1.674
2013-03-27,1.674
2013-04-02,1.683
2013-04-03,1.684
2013-04-04,1.684
2013-04-05,1.685
2013-04-08,1.681
2013-04-09,1.679
2013-04-10,1.671
2013-04-11,1.657
2013-04-12,1.658
2013-04-15,1.648
2013-04-16,1.648
2013-04-17,1.648
2013-04-18,1.649
2013-04-19,1.639
2013-04-22,1.628
2013-04-23,1.605
2013-04-24,1.579
2013-04-25,1.567
2013-04-26,1.559
2013-04-29,1.559
2013-04-30,1.553
2013-05-02,1.553
2013-05-03,1.548
2013-05-06,1.548
2013-05-07,1.548
2013-05-08,1.571
2013-05-10,1.598
2013-05-13,1.599
2013-05-14,1.549
2013-05-15,1.508
2013-05-16,1.497
2013-05-21,1.498
2013-05-22,1.487
2013-05-23,1.487
2013-05-24,1.467
2013-05-25,1.467
2013-05-27,1.478
2013-05-28,1.478
2013-05-29,1.491
2013-05-30,1.495
2013-05-31,1.495
2013-06-03,1.508
2013-06-04,1.508
2013-06-05,1.498
2013-06-06,1.478
2013-06-07,1.457
2013-06-08,1.457
2013-06-10,1.457
2013-06-11,1.457
2013-06-12,1.478
2013-06-13,1.497
2013-06-14,1.526
2013-06-16,1.526
2013-06-17,1.514
2013-06-18,1.509
2013-06-19,1.496
2013-06-20,1.506
2013-06-21,1.481
2013-06-23,1.481
2013-06-24,1.496
2013-06-25,1.496
2013-06-26,1.501
2013-06-27,1.506
2013-06-28,1.511
2013-07-01,1.523
2013-07-02,1.53
2013-07-03,1.53
2013-07-04,1.526
2013-07-05,1.526
2013-07-08,1.53
2013-07-09,1.526
2013-07-10,1.525
2013-07-11,1.525
2013-07-12,1.524
2013-07-15,1.524
2013-07-16,1.525
2013-07-17,1.525
2013-07-18,1.524
2013-07-19,1.525
2013-07-22,1.525
2013-07-23,1.525
2013-07-24,1.526
2013-07-25,1.525
2013-07-26,1.525
2013-07-29,1.524
2013-07-30,1.524
2013-07-31,1.522
2013-08-01,1.5
2013-08-02,1.514
2013-08-05,1.525
2013-08-06,1.5
2013-08-07,1.551
2013-08-08,1.55
2013-08-09,1.551
2013-08-10,1.551
2013-08-11,1.551
2013-08-12,1.581
2013-08-13,1.579
2013-08-14,1.579
2013-08-15,1.595
2013-08-16,1.599
2013-08-19,1.589
2013-08-20,1.619
2013-08-21,1.602
2013-08-22,1.624
2013-08-23,1.631
2013-08-26,1.629
2013-08-27,1.629
2013-08-28,1.619
2013-08-29,1.619
2013-08-30,1.619
2013-09-01,1.619
2013-09-02,1.619
2013-09-03,1.609
2013-09-04,1.609
2013-09-05,1.609
2013-09-06,1.568
2013-09-07,1.568
2013-09-08,1.568
2013-09-09,1.569
2013-09-10,1.529
2013-09-11,1.554
2013-09-12,1.579
2013-09-13,1.579
2013-09-15,1.579
2013-09-16,1.474
2013-09-17,1.478
2013-09-18,1.605
2013-09-19,1.596
2013-09-20,1.597
2013-09-22,1.597
2013-09-23,1.599
2013-09-24,1.602
2013-09-25,1.605
2013-09-26,1.604
2013-09-27,1.605
2013-09-29,1.605
2013-09-30,1.607
2013-10-01,1.607
2013-10-02,1.617
2013-10-03,1.624
2013-10-04,1.617
2013-10-07,1.617
2013-10-08,1.617
2013-10-09,1.613
2013-10-10,1.607
2013-10-11,1.607
2013-10-14,1.603
2013-10-15,1.607
2013-10-16,1.607
2013-10-17,1.608
2013-10-18,1.608
2013-10-21,1.618
2013-10-22,1.618
2013-10-23,1.618
2013-10-24,1.598
2013-10-25,1.598
2013-10-27,1.598
2013-10-28,1.596
2013-10-29,1.598
2013-10-30,1.583
2013-10-31,1.594
2013-11-01,1.579
2013-11-03,1.579
2013-11-04,1.578
