Date,Hours,DK1,DK2,DK
2013-01-01,00 - 01,2611.0,1539.0,4150.0
2013-01-01,01 - 02,2132.0,1535.0,3667.0
2013-01-01,02 - 03,1676.0,1474.0,3150.0
2013-01-01,03 - 04,1478.0,1430.0,2908.0
2013-01-01,04 - 05,1320.0,1368.0,2688.0
2013-01-01,05 - 06,1363.0,1405.0,2768.0
2013-01-01,06 - 07,1386.0,1430.0,2816.0
2013-01-01,07 - 08,1358.0,1435.0,2793.0
2013-01-01,08 - 09,1629.0,1426.0,3055.0
2013-01-01,09 - 10,1639.0,1457.0,3096.0
2013-01-01,10 - 11,1752.0,1425.0,3177.0
2013-01-01,11 - 12,1964.0,1429.0,3393.0
2013-01-01,12 - 13,2092.0,1279.0,3371.0
2013-01-01,13 - 14,2345.0,1076.0,3421.0
2013-01-01,14 - 15,2541.0,1128.0,3669.0
2013-01-01,15 - 16,2705.0,1225.0,3930.0
2013-01-01,16 - 17,2785.0,1247.0,4032.0
2013-01-01,17 - 18,2793.0,1246.0,4039.0
2013-01-01,18 - 19,2878.0,1278.0,4156.0
2013-01-01,19 - 20,2915.0,1348.0,4263.0
2013-01-01,20 - 21,2877.0,1294.0,4171.0
2013-01-01,21 - 22,2763.0,1316.0,4079.0
2013-01-01,22 - 23,2440.0,1436.0,3876.0
2013-01-01,23 - 00,2094.0,1447.0,3541.0
2013-01-02,00 - 01,1777.0,1494.0,3271.0
2013-01-02,01 - 02,1625.0,1468.0,3093.0
2013-01-02,02 - 03,1671.0,1481.0,3152.0
2013-01-02,03 - 04,1569.0,1466.0,3035.0
2013-01-02,04 - 05,1778.0,1354.0,3132.0
2013-01-02,05 - 06,1953.0,1350.0,3303.0
2013-01-02,06 - 07,2290.0,1394.0,3684.0
2013-01-02,07 - 08,3010.0,1495.0,4505.0
2013-01-02,08 - 09,3065.0,1341.0,4406.0
2013-01-02,09 - 10,2979.0,1342.0,4321.0
2013-01-02,10 - 11,3082.0,1414.0,4496.0
2013-01-02,11 - 12,3098.0,1467.0,4565.0
2013-01-02,12 - 13,3275.0,1550.0,4825.0
2013-01-02,13 - 14,3350.0,1573.0,4923.0
2013-01-02,14 - 15,3356.0,1581.0,4937.0
2013-01-02,15 - 16,3461.0,1611.0,5072.0
2013-01-02,16 - 17,3583.0,1637.0,5220.0
2013-01-02,17 - 18,3607.0,1619.0,5226.0
2013-01-02,18 - 19,3408.0,1683.0,5091.0
2013-01-02,19 - 20,3184.0,1679.0,4863.0
2013-01-02,20 - 21,3123.0,1601.0,4724.0
2013-01-02,21 - 22,2864.0,1541.0,4405.0
2013-01-02,22 - 23,2907.0,1505.0,4412.0
2013-01-02,23 - 00,2826.0,1423.0,4249.0
2013-01-03,00 - 01,2735.0,1442.0,4177.0
2013-01-03,01 - 02,2684.0,1463.0,4147.0
2013-01-03,02 - 03,2762.0,1449.0,4211.0
2013-01-03,03 - 04,2849.0,1550.0,4399.0
2013-01-03,04 - 05,2824.0,1618.0,4442.0
2013-01-03,05 - 06,2996.0,1622.0,4618.0
2013-01-03,06 - 07,3393.0,1719.0,5112.0
2013-01-03,07 - 08,3864.0,1750.0,5614.0
2013-01-03,08 - 09,4298.0,1761.0,6059.0
2013-01-03,09 - 10,4223.0,1773.0,5996.0
2013-01-03,10 - 11,4258.0,1799.0,6057.0
2013-01-03,11 - 12,4208.0,1818.0,6026.0
2013-01-03,12 - 13,4345.0,1824.0,6169.0
2013-01-03,13 - 14,4470.0,1781.0,6251.0
2013-01-03,14 - 15,4481.0,1778.0,6259.0
2013-01-03,15 - 16,4487.0,1795.0,6282.0
2013-01-03,16 - 17,4566.0,1808.0,6374.0
2013-01-03,17 - 18,4555.0,1792.0,6347.0
2013-01-03,18 - 19,4451.0,1744.0,6195.0
2013-01-03,19 - 20,4345.0,1755.0,6100.0
2013-01-03,20 - 21,4181.0,1764.0,5945.0
2013-01-03,21 - 22,3912.0,1776.0,5688.0
2013-01-03,22 - 23,3595.0,1746.0,5341.0
2013-01-03,23 - 00,3442.0,1692.0,5134.0
2013-01-04,00 - 01,3100.0,1693.0,4793.0
2013-01-04,01 - 02,2969.0,1703.0,4672.0
2013-01-04,02 - 03,2807.0,1705.0,4512.0
2013-01-04,03 - 04,2692.0,1675.0,4367.0
2013-01-04,04 - 05,2602.0,1548.0,4150.0
2013-01-04,05 - 06,2624.0,1536.0,4160.0
2013-01-04,06 - 07,3077.0,1476.0,4553.0
2013-01-04,07 - 08,3343.0,1496.0,4839.0
2013-01-04,08 - 09,3308.0,1519.0,4827.0
2013-01-04,09 - 10,3457.0,1470.0,4927.0
2013-01-04,10 - 11,3860.0,1451.0,5311.0
2013-01-04,11 - 12,4173.0,1623.0,5796.0
2013-01-04,12 - 13,4192.0,1724.0,5916.0
2013-01-04,13 - 14,4220.0,1773.0,5993.0
2013-01-04,14 - 15,4179.0,1734.0,5913.0
2013-01-04,15 - 16,4227.0,1722.0,5949.0
2013-01-04,16 - 17,4159.0,1732.0,5891.0
2013-01-04,17 - 18,4221.0,1581.0,5802.0
2013-01-04,18 - 19,4169.0,1397.0,5566.0
2013-01-04,19 - 20,4033.0,1325.0,5358.0
2013-01-04,20 - 21,3896.0,1319.0,5215.0
2013-01-04,21 - 22,3539.0,1261.0,4800.0
2013-01-04,22 - 23,3297.0,1197.0,4494.0
2013-01-04,23 - 00,2998.0,1072.0,4070.0
2013-01-05,00 - 01,2697.0,998.0,3695.0
2013-01-05,01 - 02,2500.0,994.0,3494.0
2013-01-05,02 - 03,2214.0,1024.0,3238.0
2013-01-05,03 - 04,2086.0,991.0,3077.0
2013-01-05,04 - 05,2061.0,984.0,3045.0
2013-01-05,05 - 06,1965.0,971.0,2936.0
2013-01-05,06 - 07,1874.0,990.0,2864.0
2013-01-05,07 - 08,1806.0,930.0,2736.0
2013-01-05,08 - 09,1773.0,876.0,2649.0
2013-01-05,09 - 10,2153.0,849.0,3002.0
2013-01-05,10 - 11,2098.0,817.0,2915.0
2013-01-05,11 - 12,2158.0,820.0,2978.0
2013-01-05,12 - 13,2154.0,828.0,2982.0
2013-01-05,13 - 14,2137.0,809.0,2946.0
2013-01-05,14 - 15,2170.0,801.0,2971.0
2013-01-05,15 - 16,2257.0,847.0,3104.0
2013-01-05,16 - 17,2314.0,879.0,3193.0
2013-01-05,17 - 18,2710.0,960.0,3670.0
2013-01-05,18 - 19,2438.0,918.0,3356.0
2013-01-05,19 - 20,2294.0,909.0,3203.0
2013-01-05,20 - 21,2160.0,849.0,3009.0
2013-01-05,21 - 22,2128.0,836.0,2964.0
2013-01-05,22 - 23,2072.0,843.0,2915.0
2013-01-05,23 - 00,2129.0,888.0,3017.0
2013-01-06,00 - 01,1941.0,1016.0,2957.0
2013-01-06,01 - 02,1805.0,1057.0,2862.0
2013-01-06,02 - 03,1862.0,962.0,2824.0
2013-01-06,03 - 04,1841.0,919.0,2760.0
2013-01-06,04 - 05,1844.0,937.0,2781.0
2013-01-06,05 - 06,1840.0,890.0,2730.0
2013-01-06,06 - 07,1926.0,905.0,2831.0
2013-01-06,07 - 08,2120.0,955.0,3075.0
2013-01-06,08 - 09,2187.0,959.0,3146.0
2013-01-06,09 - 10,2306.0,972.0,3278.0
2013-01-06,10 - 11,2547.0,1101.0,3648.0
2013-01-06,11 - 12,2898.0,1039.0,3937.0
2013-01-06,12 - 13,3000.0,1015.0,4015.0
2013-01-06,13 - 14,2876.0,1078.0,3954.0
2013-01-06,14 - 15,2778.0,1004.0,3782.0
2013-01-06,15 - 16,2680.0,1017.0,3697.0
2013-01-06,16 - 17,2462.0,1017.0,3479.0
2013-01-06,17 - 18,2581.0,1016.0,3597.0
2013-01-06,18 - 19,2451.0,988.0,3439.0
2013-01-06,19 - 20,2333.0,957.0,3290.0
2013-01-06,20 - 21,2054.0,970.0,3024.0
2013-01-06,21 - 22,2003.0,960.0,2963.0
2013-01-06,22 - 23,1913.0,908.0,2821.0
2013-01-06,23 - 00,1786.0,877.0,2663.0
2013-01-07,00 - 01,1616.0,825.0,2441.0
2013-01-07,01 - 02,1519.0,864.0,2383.0
2013-01-07,02 - 03,1421.0,872.0,2293.0
2013-01-07,03 - 04,1439.0,873.0,2312.0
2013-01-07,04 - 05,1414.0,882.0,2296.0
2013-01-07,05 - 06,1486.0,904.0,2390.0
2013-01-07,06 - 07,2045.0,913.0,2958.0
2013-01-07,07 - 08,2437.0,959.0,3396.0
2013-01-07,08 - 09,2667.0,1129.0,3796.0
2013-01-07,09 - 10,2843.0,1168.0,4011.0
2013-01-07,10 - 11,2895.0,1173.0,4068.0
2013-01-07,11 - 12,2956.0,1179.0,4135.0
2013-01-07,12 - 13,2874.0,1189.0,4063.0
2013-01-07,13 - 14,2904.0,1170.0,4074.0
2013-01-07,14 - 15,2870.0,1130.0,4000.0
2013-01-07,15 - 16,2834.0,1132.0,3966.0
2013-01-07,16 - 17,2860.0,1126.0,3986.0
2013-01-07,17 - 18,2961.0,1107.0,4068.0
2013-01-07,18 - 19,2908.0,1110.0,4018.0
2013-01-07,19 - 20,2638.0,1114.0,3752.0
2013-01-07,20 - 21,2575.0,1043.0,3618.0
2013-01-07,21 - 22,2415.0,1065.0,3480.0
2013-01-07,22 - 23,2143.0,1084.0,3227.0
2013-01-07,23 - 00,2065.0,1088.0,3153.0
2013-01-08,00 - 01,1978.0,1067.0,3045.0
2013-01-08,01 - 02,2031.0,1052.0,3083.0
2013-01-08,02 - 03,2080.0,1016.0,3096.0
2013-01-08,03 - 04,2048.0,985.0,3033.0
2013-01-08,04 - 05,2058.0,967.0,3025.0
2013-01-08,05 - 06,2058.0,940.0,2998.0
2013-01-08,06 - 07,2136.0,976.0,3112.0
2013-01-08,07 - 08,2693.0,1108.0,3801.0
2013-01-08,08 - 09,2862.0,1177.0,4039.0
2013-01-08,09 - 10,2790.0,1181.0,3971.0
2013-01-08,10 - 11,2722.0,1223.0,3945.0
2013-01-08,11 - 12,2766.0,1228.0,3994.0
2013-01-08,12 - 13,2710.0,1219.0,3929.0
2013-01-08,13 - 14,2721.0,1160.0,3881.0
2013-01-08,14 - 15,2716.0,1083.0,3799.0
2013-01-08,15 - 16,2701.0,1056.0,3757.0
2013-01-08,16 - 17,2767.0,1105.0,3872.0
2013-01-08,17 - 18,3056.0,1134.0,4190.0
2013-01-08,18 - 19,2925.0,1098.0,4023.0
2013-01-08,19 - 20,2759.0,1066.0,3825.0
2013-01-08,20 - 21,2296.0,981.0,3277.0
2013-01-08,21 - 22,2203.0,917.0,3120.0
2013-01-08,22 - 23,2169.0,848.0,3017.0
2013-01-08,23 - 00,2062.0,818.0,2880.0
2013-01-09,00 - 01,1686.0,803.0,2489.0
2013-01-09,01 - 02,1852.0,800.0,2652.0
2013-01-09,02 - 03,1990.0,809.0,2799.0
2013-01-09,03 - 04,2034.0,824.0,2858.0
2013-01-09,04 - 05,2054.0,870.0,2924.0
2013-01-09,05 - 06,2188.0,933.0,3121.0
2013-01-09,06 - 07,2445.0,1007.0,3452.0
2013-01-09,07 - 08,2711.0,1156.0,3867.0
2013-01-09,08 - 09,2814.0,1296.0,4110.0
2013-01-09,09 - 10,2772.0,1334.0,4106.0
2013-01-09,10 - 11,2821.0,1328.0,4149.0
2013-01-09,11 - 12,2971.0,1366.0,4337.0
2013-01-09,12 - 13,3089.0,1348.0,4437.0
2013-01-09,13 - 14,3099.0,1332.0,4431.0
2013-01-09,14 - 15,3137.0,1298.0,4435.0
2013-01-09,15 - 16,3141.0,1279.0,4420.0
2013-01-09,16 - 17,3473.0,1293.0,4766.0
2013-01-09,17 - 18,3615.0,1477.0,5092.0
2013-01-09,18 - 19,3516.0,1537.0,5053.0
2013-01-09,19 - 20,3420.0,1526.0,4946.0
2013-01-09,20 - 21,3471.0,1555.0,5026.0
2013-01-09,21 - 22,3281.0,1548.0,4829.0
2013-01-09,22 - 23,2848.0,1437.0,4285.0
2013-01-09,23 - 00,2740.0,1423.0,4163.0
2013-01-10,00 - 01,2666.0,1441.0,4107.0
2013-01-10,01 - 02,2403.0,1511.0,3914.0
2013-01-10,02 - 03,2351.0,1498.0,3849.0
2013-01-10,03 - 04,2438.0,1472.0,3910.0
2013-01-10,04 - 05,2709.0,1449.0,4158.0
2013-01-10,05 - 06,2940.0,1369.0,4309.0
2013-01-10,06 - 07,3276.0,1415.0,4691.0
2013-01-10,07 - 08,3764.0,1513.0,5277.0
2013-01-10,08 - 09,3853.0,1459.0,5312.0
2013-01-10,09 - 10,3717.0,1467.0,5184.0
2013-01-10,10 - 11,3465.0,1479.0,4944.0
2013-01-10,11 - 12,3388.0,1469.0,4857.0
2013-01-10,12 - 13,3519.0,1452.0,4971.0
2013-01-10,13 - 14,3655.0,1409.0,5064.0
2013-01-10,14 - 15,3680.0,1389.0,5069.0
2013-01-10,15 - 16,3704.0,1326.0,5030.0
2013-01-10,16 - 17,3694.0,1343.0,5037.0
2013-01-10,17 - 18,3724.0,1325.0,5049.0
2013-01-10,18 - 19,3570.0,1331.0,4901.0
2013-01-10,19 - 20,3345.0,1378.0,4723.0
2013-01-10,20 - 21,3208.0,1395.0,4603.0
2013-01-10,21 - 22,2916.0,1406.0,4322.0
2013-01-10,22 - 23,2772.0,1413.0,4185.0
2013-01-10,23 - 00,2647.0,1452.0,4099.0
2013-01-11,00 - 01,2370.0,1436.0,3806.0
2013-01-11,01 - 02,2345.0,1305.0,3650.0
2013-01-11,02 - 03,2369.0,1259.0,3628.0
2013-01-11,03 - 04,2314.0,1264.0,3578.0
2013-01-11,04 - 05,2291.0,1232.0,3523.0
2013-01-11,05 - 06,2497.0,1229.0,3726.0
2013-01-11,06 - 07,2816.0,1247.0,4063.0
2013-01-11,07 - 08,3014.0,1342.0,4356.0
2013-01-11,08 - 09,3249.0,1457.0,4706.0
2013-01-11,09 - 10,3170.0,1501.0,4671.0
2013-01-11,10 - 11,3262.0,1546.0,4808.0
2013-01-11,11 - 12,3204.0,1688.0,4892.0
2013-01-11,12 - 13,3129.0,1554.0,4683.0
2013-01-11,13 - 14,3061.0,1339.0,4400.0
2013-01-11,14 - 15,3019.0,1344.0,4363.0
2013-01-11,15 - 16,3005.0,1307.0,4312.0
2013-01-11,16 - 17,2994.0,1293.0,4287.0
2013-01-11,17 - 18,3041.0,1290.0,4331.0
2013-01-11,18 - 19,2948.0,1306.0,4254.0
2013-01-11,19 - 20,2798.0,1250.0,4048.0
2013-01-11,20 - 21,2682.0,1243.0,3925.0
2013-01-11,21 - 22,2525.0,1216.0,3741.0
2013-01-11,22 - 23,2490.0,1221.0,3711.0
2013-01-11,23 - 00,2321.0,1137.0,3458.0
2013-01-12,00 - 01,2298.0,1140.0,3438.0
2013-01-12,01 - 02,2304.0,1137.0,3441.0
2013-01-12,02 - 03,2252.0,1130.0,3382.0
2013-01-12,03 - 04,2241.0,1123.0,3364.0
2013-01-12,04 - 05,2223.0,1112.0,3335.0
2013-01-12,05 - 06,2223.0,1116.0,3339.0
2013-01-12,06 - 07,2246.0,1123.0,3369.0
2013-01-12,07 - 08,2317.0,1150.0,3467.0
2013-01-12,08 - 09,2366.0,1215.0,3581.0
2013-01-12,09 - 10,2471.0,1229.0,3700.0
2013-01-12,10 - 11,2450.0,1357.0,3807.0
2013-01-12,11 - 12,2436.0,1445.0,3881.0
2013-01-12,12 - 13,2398.0,1446.0,3844.0
2013-01-12,13 - 14,2377.0,1436.0,3813.0
2013-01-12,14 - 15,2394.0,1221.0,3615.0
2013-01-12,15 - 16,2481.0,1215.0,3696.0
2013-01-12,16 - 17,2549.0,1271.0,3820.0
2013-01-12,17 - 18,2703.0,1278.0,3981.0
2013-01-12,18 - 19,2730.0,1295.0,4025.0
2013-01-12,19 - 20,2660.0,1260.0,3920.0
2013-01-12,20 - 21,2597.0,1250.0,3847.0
2013-01-12,21 - 22,2436.0,1210.0,3646.0
2013-01-12,22 - 23,2360.0,1207.0,3567.0
2013-01-12,23 - 00,2307.0,1179.0,3486.0
2013-01-13,00 - 01,2143.0,1130.0,3273.0
2013-01-13,01 - 02,2029.0,1151.0,3180.0
2013-01-13,02 - 03,2084.0,1193.0,3277.0
2013-01-13,03 - 04,1940.0,1239.0,3179.0
2013-01-13,04 - 05,1934.0,1226.0,3160.0
2013-01-13,05 - 06,2085.0,1225.0,3310.0
2013-01-13,06 - 07,2026.0,1242.0,3268.0
2013-01-13,07 - 08,2078.0,1301.0,3379.0
2013-01-13,08 - 09,2203.0,1218.0,3421.0
2013-01-13,09 - 10,2331.0,1173.0,3504.0
2013-01-13,10 - 11,2304.0,1261.0,3565.0
2013-01-13,11 - 12,2347.0,1214.0,3561.0
2013-01-13,12 - 13,2343.0,1150.0,3493.0
2013-01-13,13 - 14,2333.0,1198.0,3531.0
2013-01-13,14 - 15,2285.0,1219.0,3504.0
2013-01-13,15 - 16,2304.0,1211.0,3515.0
2013-01-13,16 - 17,2394.0,1216.0,3610.0
2013-01-13,17 - 18,2596.0,1239.0,3835.0
2013-01-13,18 - 19,2632.0,1234.0,3866.0
2013-01-13,19 - 20,2592.0,1241.0,3833.0
2013-01-13,20 - 21,2478.0,1254.0,3732.0
2013-01-13,21 - 22,2388.0,1344.0,3732.0
2013-01-13,22 - 23,2380.0,1338.0,3718.0
2013-01-13,23 - 00,2345.0,1321.0,3666.0
2013-01-14,00 - 01,2315.0,1326.0,3641.0
2013-01-14,01 - 02,2367.0,1352.0,3719.0
2013-01-14,02 - 03,2375.0,1486.0,3861.0
2013-01-14,03 - 04,2418.0,1547.0,3965.0
2013-01-14,04 - 05,2501.0,1556.0,4057.0
2013-01-14,05 - 06,2506.0,1628.0,4134.0
2013-01-14,06 - 07,2855.0,1625.0,4480.0
2013-01-14,07 - 08,3110.0,1656.0,4766.0
2013-01-14,08 - 09,3324.0,1699.0,5023.0
2013-01-14,09 - 10,3389.0,1696.0,5085.0
2013-01-14,10 - 11,3357.0,1757.0,5114.0
2013-01-14,11 - 12,3404.0,1827.0,5231.0
2013-01-14,12 - 13,3280.0,1915.0,5195.0
2013-01-14,13 - 14,3282.0,1875.0,5157.0
2013-01-14,14 - 15,3266.0,1723.0,4989.0
2013-01-14,15 - 16,3271.0,1725.0,4996.0
2013-01-14,16 - 17,3166.0,1803.0,4969.0
2013-01-14,17 - 18,3264.0,1975.0,5239.0
2013-01-14,18 - 19,3186.0,1969.0,5155.0
2013-01-14,19 - 20,2997.0,1947.0,4944.0
2013-01-14,20 - 21,2770.0,1872.0,4642.0
2013-01-14,21 - 22,2710.0,1851.0,4561.0
2013-01-14,22 - 23,2587.0,1822.0,4409.0
2013-01-14,23 - 00,2516.0,1744.0,4260.0
2013-01-15,00 - 01,2651.0,1628.0,4279.0
2013-01-15,01 - 02,2725.0,1583.0,4308.0
2013-01-15,02 - 03,2759.0,1631.0,4390.0
2013-01-15,03 - 04,2821.0,1647.0,4468.0
2013-01-15,04 - 05,2837.0,1605.0,4442.0
2013-01-15,05 - 06,2792.0,1589.0,4381.0
2013-01-15,06 - 07,3071.0,1659.0,4730.0
2013-01-15,07 - 08,3284.0,1778.0,5062.0
2013-01-15,08 - 09,3404.0,1848.0,5252.0
2013-01-15,09 - 10,3284.0,1913.0,5197.0
2013-01-15,10 - 11,3213.0,1883.0,5096.0
2013-01-15,11 - 12,3154.0,1835.0,4989.0
2013-01-15,12 - 13,3087.0,1799.0,4886.0
2013-01-15,13 - 14,3102.0,1774.0,4876.0
2013-01-15,14 - 15,3114.0,1769.0,4883.0
2013-01-15,15 - 16,3123.0,1742.0,4865.0
2013-01-15,16 - 17,3063.0,1781.0,4844.0
2013-01-15,17 - 18,3133.0,1807.0,4940.0
2013-01-15,18 - 19,3094.0,1881.0,4975.0
2013-01-15,19 - 20,2980.0,1642.0,4622.0
2013-01-15,20 - 21,2860.0,1404.0,4264.0
2013-01-15,21 - 22,2736.0,1379.0,4115.0
2013-01-15,22 - 23,2579.0,1361.0,3940.0
2013-01-15,23 - 00,2531.0,1431.0,3962.0
2013-01-16,00 - 01,2598.0,1410.0,4008.0
2013-01-16,01 - 02,2467.0,1427.0,3894.0
2013-01-16,02 - 03,2519.0,1456.0,3975.0
2013-01-16,03 - 04,2521.0,1512.0,4033.0
2013-01-16,04 - 05,2545.0,1569.0,4114.0
2013-01-16,05 - 06,2592.0,1645.0,4237.0
2013-01-16,06 - 07,2749.0,1712.0,4461.0
2013-01-16,07 - 08,3290.0,1815.0,5105.0
2013-01-16,08 - 09,3363.0,1972.0,5335.0
2013-01-16,09 - 10,3282.0,1993.0,5275.0
2013-01-16,10 - 11,3215.0,1983.0,5198.0
2013-01-16,11 - 12,3246.0,2079.0,5325.0
2013-01-16,12 - 13,3241.0,2172.0,5413.0
2013-01-16,13 - 14,3154.0,1996.0,5150.0
2013-01-16,14 - 15,2929.0,1866.0,4795.0
2013-01-16,15 - 16,2978.0,1857.0,4835.0
2013-01-16,16 - 17,3055.0,1871.0,4926.0
2013-01-16,17 - 18,3163.0,1943.0,5106.0
2013-01-16,18 - 19,3110.0,2004.0,5114.0
2013-01-16,19 - 20,3089.0,1972.0,5061.0
2013-01-16,20 - 21,3039.0,1981.0,5020.0
2013-01-16,21 - 22,2969.0,1694.0,4663.0
2013-01-16,22 - 23,2597.0,1793.0,4390.0
2013-01-16,23 - 00,2515.0,1820.0,4335.0
2013-01-17,00 - 01,2396.0,1619.0,4015.0
2013-01-17,01 - 02,2236.0,1502.0,3738.0
2013-01-17,02 - 03,2369.0,1487.0,3856.0
2013-01-17,03 - 04,2383.0,1482.0,3865.0
2013-01-17,04 - 05,2442.0,1534.0,3976.0
2013-01-17,05 - 06,2496.0,1569.0,4065.0
2013-01-17,06 - 07,2723.0,1682.0,4405.0
2013-01-17,07 - 08,3108.0,1870.0,4978.0
2013-01-17,08 - 09,3123.0,1960.0,5083.0
2013-01-17,09 - 10,3090.0,2007.0,5097.0
2013-01-17,10 - 11,3103.0,2086.0,5189.0
2013-01-17,11 - 12,3085.0,2047.0,5132.0
2013-01-17,12 - 13,3054.0,1987.0,5041.0
2013-01-17,13 - 14,3089.0,1985.0,5074.0
2013-01-17,14 - 15,3066.0,1965.0,5031.0
2013-01-17,15 - 16,3039.0,1959.0,4998.0
2013-01-17,16 - 17,3110.0,2003.0,5113.0
2013-01-17,17 - 18,3184.0,1993.0,5177.0
2013-01-17,18 - 19,3260.0,1990.0,5250.0
2013-01-17,19 - 20,3141.0,1986.0,5127.0
2013-01-17,20 - 21,3096.0,1888.0,4984.0
2013-01-17,21 - 22,2969.0,1839.0,4808.0
2013-01-17,22 - 23,2806.0,1893.0,4699.0
2013-01-17,23 - 00,2738.0,1874.0,4612.0
2013-01-18,00 - 01,2800.0,1809.0,4609.0
2013-01-18,01 - 02,2774.0,1845.0,4619.0
2013-01-18,02 - 03,2733.0,1915.0,4648.0
2013-01-18,03 - 04,2808.0,1913.0,4721.0
2013-01-18,04 - 05,2909.0,1918.0,4827.0
2013-01-18,05 - 06,2711.0,1990.0,4701.0
2013-01-18,06 - 07,3256.0,2094.0,5350.0
2013-01-18,07 - 08,3561.0,2135.0,5696.0
2013-01-18,08 - 09,3667.0,2146.0,5813.0
2013-01-18,09 - 10,3654.0,2191.0,5845.0
2013-01-18,10 - 11,3619.0,2203.0,5822.0
2013-01-18,11 - 12,3579.0,2196.0,5775.0
2013-01-18,12 - 13,3434.0,2162.0,5596.0
2013-01-18,13 - 14,3388.0,2118.0,5506.0
2013-01-18,14 - 15,3430.0,2178.0,5608.0
2013-01-18,15 - 16,3519.0,2222.0,5741.0
2013-01-18,16 - 17,3579.0,2305.0,5884.0
2013-01-18,17 - 18,3833.0,2292.0,6125.0
2013-01-18,18 - 19,3908.0,2258.0,6166.0
2013-01-18,19 - 20,3849.0,2233.0,6082.0
2013-01-18,20 - 21,3812.0,2308.0,6120.0
2013-01-18,21 - 22,3681.0,2353.0,6034.0
2013-01-18,22 - 23,3651.0,2289.0,5940.0
2013-01-18,23 - 00,3450.0,2076.0,5526.0
2013-01-19,00 - 01,3122.0,1990.0,5112.0
2013-01-19,01 - 02,3101.0,1929.0,5030.0
2013-01-19,02 - 03,3047.0,1764.0,4811.0
2013-01-19,03 - 04,3224.0,1791.0,5015.0
2013-01-19,04 - 05,3231.0,1821.0,5052.0
2013-01-19,05 - 06,3284.0,1794.0,5078.0
2013-01-19,06 - 07,3178.0,1762.0,4940.0
2013-01-19,07 - 08,3282.0,1777.0,5059.0
2013-01-19,08 - 09,3287.0,1964.0,5251.0
2013-01-19,09 - 10,3393.0,2025.0,5418.0
2013-01-19,10 - 11,3388.0,2041.0,5429.0
2013-01-19,11 - 12,3415.0,2058.0,5473.0
2013-01-19,12 - 13,3372.0,1966.0,5338.0
2013-01-19,13 - 14,3344.0,1978.0,5322.0
2013-01-19,14 - 15,3349.0,1997.0,5346.0
2013-01-19,15 - 16,3338.0,1991.0,5329.0
2013-01-19,16 - 17,3282.0,1979.0,5261.0
2013-01-19,17 - 18,3430.0,1987.0,5417.0
2013-01-19,18 - 19,3359.0,1985.0,5344.0
2013-01-19,19 - 20,3216.0,1958.0,5174.0
2013-01-19,20 - 21,3106.0,1908.0,5014.0
2013-01-19,21 - 22,2993.0,1823.0,4816.0
2013-01-19,22 - 23,2901.0,1772.0,4673.0
2013-01-19,23 - 00,2797.0,1564.0,4361.0
2013-01-20,00 - 01,2660.0,1526.0,4186.0
2013-01-20,01 - 02,2552.0,1517.0,4069.0
2013-01-20,02 - 03,2451.0,1519.0,3970.0
2013-01-20,03 - 04,2423.0,1526.0,3949.0
2013-01-20,04 - 05,2462.0,1525.0,3987.0
2013-01-20,05 - 06,2573.0,1519.0,4092.0
2013-01-20,06 - 07,2730.0,1528.0,4258.0
2013-01-20,07 - 08,2797.0,1678.0,4475.0
2013-01-20,08 - 09,2823.0,1825.0,4648.0
2013-01-20,09 - 10,2856.0,1914.0,4770.0
2013-01-20,10 - 11,2781.0,1959.0,4740.0
2013-01-20,11 - 12,2768.0,1878.0,4646.0
2013-01-20,12 - 13,2859.0,1842.0,4701.0
2013-01-20,13 - 14,2889.0,1825.0,4714.0
2013-01-20,14 - 15,2870.0,1804.0,4674.0
2013-01-20,15 - 16,3090.0,1779.0,4869.0
2013-01-20,16 - 17,3352.0,1954.0,5306.0
2013-01-20,17 - 18,3591.0,2075.0,5666.0
2013-01-20,18 - 19,3781.0,2158.0,5939.0
2013-01-20,19 - 20,3897.0,2203.0,6100.0
2013-01-20,20 - 21,3945.0,2207.0,6152.0
2013-01-20,21 - 22,3855.0,2178.0,6033.0
2013-01-20,22 - 23,3862.0,2035.0,5897.0
2013-01-20,23 - 00,3828.0,2027.0,5855.0
2013-01-21,00 - 01,3555.0,2015.0,5570.0
2013-01-21,01 - 02,3562.0,2013.0,5575.0
2013-01-21,02 - 03,3455.0,2034.0,5489.0
2013-01-21,03 - 04,3472.0,2050.0,5522.0
2013-01-21,04 - 05,3829.0,2044.0,5873.0
2013-01-21,05 - 06,3945.0,2069.0,6014.0
2013-01-21,06 - 07,4297.0,2228.0,6525.0
2013-01-21,07 - 08,4512.0,2414.0,6926.0
2013-01-21,08 - 09,4507.0,2422.0,6929.0
2013-01-21,09 - 10,4383.0,2434.0,6817.0
2013-01-21,10 - 11,4314.0,2436.0,6750.0
2013-01-21,11 - 12,4380.0,2462.0,6842.0
2013-01-21,12 - 13,4403.0,2452.0,6855.0
2013-01-21,13 - 14,4488.0,2442.0,6930.0
2013-01-21,14 - 15,4470.0,2465.0,6935.0
2013-01-21,15 - 16,4483.0,2456.0,6939.0
2013-01-21,16 - 17,4384.0,2469.0,6853.0
2013-01-21,17 - 18,4439.0,2490.0,6929.0
2013-01-21,18 - 19,4336.0,2470.0,6806.0
2013-01-21,19 - 20,4294.0,2468.0,6762.0
2013-01-21,20 - 21,4280.0,2466.0,6746.0
