"Date","Price","Open","High","Low","Change %"
"Jan 21, 2021","0.082","0.080","0.082","0.080","1.24%"
"Jan 20, 2021","0.080","0.075","0.080","0.075","-36.11%"
"Jan 19, 2021","0.126","0.126","0.126","0.126","4.13%"
"Jan 18, 2021","0.121","0.121","0.121","0.121","5.22%"
"Jan 15, 2021","0.115","0.115","0.115","0.115","-4.17%"
"Jan 14, 2021","0.120","0.113","0.120","0.113","57.89%"
"Jan 13, 2021","0.076","0.072","0.076","0.072","-34.48%"
"Jan 12, 2021","0.116","0.116","0.116","0.116","0.87%"
"Jan 11, 2021","0.115","0.110","0.203","0.052","61.97%"
"Jan 08, 2021","0.071","0.071","0.071","0.071","-36.04%"
"Jan 07, 2021","0.111","0.106","0.111","0.106","21.98%"
"Jan 06, 2021","0.091","0.086","0.091","0.086","-9.90%"
"Jan 05, 2021","0.101","0.079","0.101","0.079","12.22%"
"Jan 04, 2021","0.090","0.063","0.090","0.063","57.89%"
"Dec 30, 2020","0.057","0.057","0.057","0.057","11.76%"
"Dec 29, 2020","0.051","0.070","0.085","0.051","2.00%"
"Dec 28, 2020","0.050","0.043","0.050","0.043","-3.85%"
"Dec 23, 2020","0.052","0.055","0.055","0.052","-8.77%"
"Dec 22, 2020","0.057","0.057","0.057","0.057","9.62%"
"Dec 21, 2020","0.052","0.096","0.096","0.047","-44.68%"
"Dec 18, 2020","0.094","0.094","0.094","0.094","-7.84%"
"Dec 17, 2020","0.102","0.122","0.204","0.060","70.00%"
"Dec 16, 2020","0.060","0.060","0.060","0.060","-67.21%"
"Dec 11, 2020","0.183","0.183","0.183","0.183","0.00%"
"Dec 10, 2020","0.183","0.183","0.183","0.183","25.34%"
"Dec 09, 2020","0.146","0.146","0.146","0.146","-10.98%"
"Dec 08, 2020","0.164","0.164","0.164","0.164","20.59%"
"Dec 07, 2020","0.136","0.146","0.146","0.146","-6.85%"
"Dec 04, 2020","0.146","0.146","0.146","0.146","0.00%"
"Dec 02, 2020","0.146","99.995","99.995","99.995","8.15%"
"Dec 01, 2020","0.135","0.135","0.135","0.135","-7.53%"
"Nov 30, 2020","0.146","0.146","0.146","0.146","10.61%"
"Nov 27, 2020","0.132","0.132","0.132","0.132","1.54%"
"Nov 26, 2020","0.130","0.130","0.130","0.130","-0.76%"
"Nov 25, 2020","0.131","0.131","0.131","0.131","19.09%"
"Nov 24, 2020","0.110","0.110","0.110","0.110","-9.84%"
"Nov 23, 2020","0.122","0.104","0.122","0.104","-6.87%"
"Nov 20, 2020","0.131","0.126","0.131","0.126","18.02%"
"Nov 19, 2020","0.111","0.111","0.111","0.111","-8.26%"
"Nov 18, 2020","0.121","0.121","0.121","0.121","1.68%"
"Nov 17, 2020","0.119","0.119","0.119","0.119","-1.65%"
"Nov 13, 2020","0.121","0.121","0.121","0.121","4.31%"
"Nov 12, 2020","0.116","0.116","0.116","0.116","4.50%"
"Nov 11, 2020","0.111","0.111","0.111","0.111","-3.48%"
"Nov 10, 2020","0.115","0.115","0.115","0.115","10.58%"
"Nov 09, 2020","0.104","0.104","0.104","0.104","-10.34%"
"Nov 06, 2020","0.116","0.116","0.116","0.116","6.42%"
"Nov 05, 2020","0.109","0.227","0.227","0.109","-0.91%"
"Nov 04, 2020","0.110","0.110","0.110","0.110","-4.35%"
"Nov 03, 2020","0.115","0.115","0.115","0.115","-0.86%"
"Nov 02, 2020","0.116","0.191","0.191","0.087","5.45%"
"Oct 30, 2020","0.110","0.110","0.110","0.110","10.00%"
"Oct 29, 2020","0.100","0.100","0.100","0.100","16.28%"
"Oct 28, 2020","0.086","0.095","0.179","0.078","1.18%"
"Oct 27, 2020","0.085","0.085","0.085","0.085","0.00%"
"Oct 26, 2020","0.085","0.075","0.085","0.075","0.00%"
"Oct 23, 2020","0.085","0.085","0.085","0.085","18.06%"
