"Date","Price","Open","High","Low","Change %"
"Jan 21, 2021","0.075","0.082","0.082","0.075","-64.01%"
"Jan 20, 2021","0.207","0.209","0.209","0.207","0.98%"
"Jan 19, 2021","0.205","0.208","0.208","0.205","0.49%"
"Jan 18, 2021","0.204","0.201","0.204","0.121","0.49%"
"Jan 15, 2021","0.203","0.200","0.203","0.200","1.00%"
"Jan 14, 2021","0.201","0.118","0.201","0.118","63.41%"
"Jan 13, 2021","0.123","0.200","0.236","0.123","-37.24%"
"Jan 12, 2021","0.196","0.117","0.196","0.117","3.16%"
"Jan 11, 2021","0.190","0.173","0.223","0.112","8.57%"
"Jan 08, 2021","0.175","0.172","0.175","0.172","66.67%"
"Jan 07, 2021","0.105","0.162","0.171","0.105","6.06%"
"Jan 06, 2021","0.099","0.159","0.163","0.094","-38.12%"
"Jan 05, 2021","0.160","0.148","0.160","0.084","6.67%"
"Jan 04, 2021","0.150","0.143","0.150","0.095","11.11%"
"Dec 30, 2020","0.135","0.124","0.144","0.079","3.85%"
"Dec 29, 2020","0.130","0.119","0.130","0.063","132.14%"
"Dec 28, 2020","0.056","0.115","0.115","0.056","-54.47%"
"Dec 23, 2020","0.123","0.125","0.127","0.067","-1.60%"
"Dec 22, 2020","0.125","0.133","0.133","0.072","5.04%"
"Dec 21, 2020","0.119","0.123","0.129","0.062","-16.78%"
"Dec 18, 2020","0.143","0.123","0.143","0.104","-1.38%"
"Dec 17, 2020","0.145","0.124","0.213","0.075","2.11%"
"Dec 16, 2020","0.142","0.128","0.146","0.075","158.18%"
"Dec 15, 2020","0.055","0.097","0.097","0.055","-21.43%"
"Dec 14, 2020","0.070","0.088","0.088","0.050","40.00%"
"Dec 11, 2020","0.050","0.050","0.050","0.050","-39.76%"
"Dec 10, 2020","0.083","0.083","0.083","0.083","66.00%"
"Dec 09, 2020","0.050","0.050","0.050","0.050","0.00%"
"Dec 08, 2020","0.050","0.050","0.050","0.050","-41.86%"
"Dec 07, 2020","0.086","0.086","0.086","0.086","72.00%"
"Dec 04, 2020","0.050","0.050","0.050","0.050","0.00%"
"Dec 03, 2020","0.050","0.050","0.050","0.050","-41.18%"
"Dec 02, 2020","0.085","0.184","0.184","0.085","70.00%"
"Dec 01, 2020","0.050","0.050","0.050","0.050","0.00%"
"Nov 30, 2020","0.050","0.055","0.083","0.050","0.00%"
"Nov 27, 2020","0.050","0.050","0.050","0.050","11.11%"
"Nov 26, 2020","0.045","0.045","0.045","0.045","0.00%"
"Nov 25, 2020","0.045","0.045","0.045","0.045","0.00%"
"Nov 24, 2020","0.045","0.045","0.045","0.045","-42.31%"
"Nov 23, 2020","0.078","0.078","0.078","0.078","73.33%"
"Nov 20, 2020","0.045","0.045","0.045","0.045","0.00%"
"Nov 19, 2020","0.045","0.045","0.045","0.045","-42.31%"
