Date,Open,High,Low,Close,Volume
01/20/2016,"1.479%","1.479%","1.369%","1.415%","0"
01/19/2016,"1.462%","1.506%","1.453%","1.484%","0"
01/15/2016,"1.520%","1.526%","1.386%","1.456%","0"
01/14/2016,"1.501%","1.543%","1.479%","1.510%","0"
01/13/2016,"1.564%","1.586%","1.486%","1.522%","0"
01/12/2016,"1.591%","1.627%","1.511%","1.542%","0"
01/11/2016,"1.561%","1.617%","1.560%","1.594%","0"
01/08/2016,"1.607%","1.678%","1.550%","1.560%","0"
01/07/2016,"1.660%","1.673%","1.591%","1.601%","0"
01/06/2016,"1.717%","1.720%","1.642%","1.643%","0"
01/05/2016,"1.734%","1.755%","1.704%","1.716%","0"
01/04/2016,"1.778%","1.781%","1.694%","1.737%","0"
12/31/2015,"1.791%","1.806%","1.755%","1.758%","0"
12/30/2015,"1.798%","1.826%","1.783%","1.796%","0"
12/29/2015,"1.713%","1.798%","1.711%","1.787%","0"
12/28/2015,"1.731%","1.738%","1.696%","1.718%","0"
12/24/2015,"1.723%","1.738%","1.710%","1.718%","0"
12/23/2015,"1.705%","1.736%","1.701%","1.721%","0"
12/22/2015,"1.668%","1.713%","1.658%","1.708%","0"
12/21/2015,"1.683%","1.704%","1.651%","1.670%","0"
12/18/2015,"1.713%","1.713%","1.658%","1.681%","0"
12/17/2015,"1.741%","1.741%","1.699%","1.704%","0"
12/16/2015,"1.694%","1.777%","1.684%","1.752%","0"
12/15/2015,"1.646%","1.714%","1.630%","1.696%","0"
12/14/2015,"1.582%","1.660%","1.577%","1.655%","0"
12/11/2015,"1.686%","1.691%","1.549%","1.559%","0"
12/10/2015,"1.643%","1.684%","1.635%","1.678%","0"
12/09/2015,"1.674%","1.694%","1.618%","1.641%","0"
12/08/2015,"1.678%","1.694%","1.645%","1.664%","0"
12/07/2015,"1.720%","1.730%","1.656%","1.673%","0"
12/04/2015,"1.725%","1.778%","1.692%","1.712%","0"
12/03/2015,"1.643%","1.776%","1.632%","1.735%","0"
12/02/2015,"1.610%","1.658%","1.602%","1.633%","0"
12/01/2015,"1.656%","1.681%","1.579%","1.591%","0"
11/30/2015,"1.650%","1.684%","1.645%","1.648%","0"
11/27/2015,"1.663%","1.668%","1.638%","1.650%","0"
11/26/2015,"1.666%","1.666%","1.666%","1.666%","0"
11/25/2015,"1.667%","1.685%","1.653%","1.676%","0"
11/24/2015,"1.678%","1.687%","1.637%","1.667%","0"
11/23/2015,"1.683%","1.737%","1.666%","1.670%","0"
11/20/2015,"1.681%","1.698%","1.653%","1.688%","0"
11/19/2015,"1.684%","1.696%","1.651%","1.677%","0"
11/18/2015,"1.664%","1.697%","1.652%","1.686%","0"
11/17/2015,"1.662%","1.705%","1.639%","1.656%","0"
11/16/2015,"1.624%","1.662%","1.619%","1.652%","0"
11/13/2015,"1.723%","1.728%","1.654%","1.660%","0"
11/12/2015,"1.718%","1.733%","1.693%","1.715%","0"
11/10/2015,"1.741%","1.743%","1.688%","1.724%","0"
11/09/2015,"1.741%","1.784%","1.727%","1.746%","0"
11/06/2015,"1.634%","1.762%","1.620%","1.734%","0"
11/05/2015,"1.636%","1.664%","1.617%","1.629%","0"
11/04/2015,"1.586%","1.650%","1.583%","1.634%","0"
11/03/2015,"1.555%","1.607%","1.548%","1.591%","0"
11/02/2015,"1.520%","1.571%","1.510%","1.553%","0"
10/30/2015,"1.520%","1.559%","1.507%","1.520%","0"
10/29/2015,"1.481%","1.538%","1.458%","1.536%","0"
10/28/2015,"1.368%","1.472%","1.363%","1.462%","0"
10/27/2015,"1.395%","1.401%","1.339%","1.367%","0"
10/26/2015,"1.410%","1.428%","1.388%","1.396%","0"
10/23/2015,"1.360%","1.426%","1.354%","1.415%","0"
10/22/2015,"1.352%","1.378%","1.326%","1.354%","0"
10/21/2015,"1.383%","1.395%","1.344%","1.354%","0"
10/20/2015,"1.337%","1.400%","1.332%","1.390%","0"
10/19/2015,"1.347%","1.377%","1.332%","1.341%","0"
10/16/2015,"1.342%","1.362%","1.318%","1.352%","0"
10/15/2015,"1.275%","1.342%","1.274%","1.334%","0"
10/14/2015,"1.357%","1.362%","1.266%","1.271%","0"
10/13/2015,"1.393%","1.393%","1.346%","1.354%","0"
10/09/2015,"1.390%","1.439%","1.378%","1.403%","0"
10/08/2015,"1.373%","1.409%","1.336%","1.399%","0"
10/07/2015,"1.323%","1.388%","1.323%","1.372%","0"
10/06/2015,"1.342%","1.365%","1.320%","1.323%","0"
10/05/2015,"1.287%","1.359%","1.276%","1.346%","0"
10/02/2015,"1.370%","1.391%","1.210%","1.299%","0"
10/01/2015,"1.362%","1.393%","1.343%","1.365%","0"
09/30/2015,"1.383%","1.429%","1.357%","1.359%","0"
09/29/2015,"1.419%","1.437%","1.367%","1.380%","0"
09/28/2015,"1.473%","1.482%","1.417%","1.421%","0"
09/25/2015,"1.489%","1.530%","1.466%","1.477%","0"
09/24/2015,"1.476%","1.489%","1.411%","1.455%","0"
09/23/2015,"1.436%","1.464%","1.426%","1.451%","0"
09/22/2015,"1.494%","1.495%","1.416%","1.431%","0"
09/21/2015,"1.454%","1.508%","1.454%","1.495%","0"
09/18/2015,"1.482%","1.489%","1.426%","1.442%","0"
09/17/2015,"1.614%","1.617%","1.477%","1.482%","0"
09/16/2015,"1.609%","1.619%","1.574%","1.612%","0"
09/15/2015,"1.511%","1.615%","1.495%","1.614%","0"
09/14/2015,"1.523%","1.529%","1.488%","1.508%","0"
09/11/2015,"1.552%","1.557%","1.498%","1.514%","0"
09/10/2015,"1.527%","1.564%","1.503%","1.549%","0"
09/09/2015,"1.519%","1.577%","1.509%","1.531%","0"
09/08/2015,"1.468%","1.529%","1.463%","1.517%","0"
09/04/2015,"1.493%","1.509%","1.411%","1.470%","0"
09/03/2015,"1.509%","1.519%","1.466%","1.481%","0"
09/02/2015,"1.489%","1.527%","1.478%","1.514%","0"
09/01/2015,"1.545%","1.546%","1.484%","1.489%","0"
08/31/2015,"1.541%","1.558%","1.484%","1.550%","0"
08/28/2015,"1.504%","1.536%","1.450%","1.513%","0"
08/27/2015,"1.487%","1.533%","1.463%","1.500%","0"
08/26/2015,"1.401%","1.509%","1.391%","1.480%","0"
08/25/2015,"1.380%","1.490%","1.370%","1.418%","0"
08/24/2015,"1.411%","1.426%","1.360%","1.372%","0"
08/21/2015,"1.482%","1.482%","1.418%","1.431%","0"
08/20/2015,"1.505%","1.510%","1.465%","1.472%","0"
08/19/2015,"1.577%","1.613%","1.485%","1.498%","0"
08/18/2015,"1.562%","1.592%","1.536%","1.581%","0"
08/17/2015,"1.594%","1.600%","1.538%","1.567%","0"
08/14/2015,"1.571%","1.610%","1.553%","1.600%","0"
08/13/2015,"1.513%","1.582%","1.478%","1.574%","0"
08/12/2015,"1.533%","1.545%","1.429%","1.523%","0"
08/11/2015,"1.614%","1.618%","1.501%","1.527%","0"
08/10/2015,"1.584%","1.628%","1.584%","1.612%","0"
08/07/2015,"1.612%","1.645%","1.571%","1.573%","0"
08/06/2015,"1.646%","1.650%","1.600%","1.614%","0"
08/05/2015,"1.612%","1.669%","1.605%","1.645%","0"
08/04/2015,"1.512%","1.614%","1.508%","1.609%","0"
08/03/2015,"1.540%","1.568%","1.501%","1.517%","0"
07/31/2015,"1.630%","1.653%","1.530%","1.532%","0"
07/30/2015,"1.620%","1.674%","1.615%","1.620%","0"
07/29/2015,"1.597%","1.633%","1.590%","1.623%","0"
07/28/2015,"1.567%","1.612%","1.565%","1.590%","0"
07/27/2015,"1.617%","1.622%","1.557%","1.562%","0"
07/24/2015,"1.638%","1.651%","1.598%","1.618%","0"
07/23/2015,"1.676%","1.693%","1.628%","1.637%","0"
07/22/2015,"1.658%","1.681%","1.642%","1.671%","0"
07/21/2015,"1.703%","1.724%","1.651%","1.655%","0"
07/20/2015,"1.673%","1.721%","1.658%","1.708%","0"
07/17/2015,"1.660%","1.694%","1.646%","1.671%","0"
07/16/2015,"1.637%","1.689%","1.637%","1.655%","0"
07/15/2015,"1.646%","1.704%","1.617%","1.627%","0"
07/14/2015,"1.714%","1.721%","1.648%","1.656%","0"
07/13/2015,"1.653%","1.724%","1.638%","1.717%","0"
07/10/2015,"1.618%","1.689%","1.597%","1.660%","0"
07/09/2015,"1.491%","1.592%","1.481%","1.587%","0"
07/08/2015,"1.546%","1.546%","1.473%","1.489%","0"
07/07/2015,"1.568%","1.581%","1.476%","1.548%","0"
07/06/2015,"1.538%","1.605%","1.527%","1.558%","0"
07/02/2015,"1.710%","1.738%","1.618%","1.630%","0"
07/01/2015,"1.666%","1.717%","1.640%","1.707%","0"
06/30/2015,"1.623%","1.669%","1.605%","1.650%","0"
06/29/2015,"1.604%","1.695%","1.588%","1.622%","0"
06/26/2015,"1.699%","1.763%","1.695%","1.756%","0"
06/25/2015,"1.681%","1.738%","1.679%","1.707%","0"
06/24/2015,"1.687%","1.711%","1.659%","1.667%","0"
06/23/2015,"1.669%","1.711%","1.662%","1.696%","0"
06/22/2015,"1.601%","1.674%","1.592%","1.669%","0"
06/19/2015,"1.624%","1.627%","1.559%","1.573%","0"
06/18/2015,"1.614%","1.675%","1.574%","1.629%","0"
06/17/2015,"1.660%","1.745%","1.612%","1.624%","0"
06/16/2015,"1.700%","1.705%","1.655%","1.660%","0"
06/15/2015,"1.710%","1.720%","1.658%","1.703%","0"
06/12/2015,"1.729%","1.759%","1.691%","1.744%","0"
06/11/2015,"1.781%","1.806%","1.721%","1.731%","0"
06/10/2015,"1.754%","1.799%","1.751%","1.787%","0"
06/09/2015,"1.709%","1.767%","1.683%","1.755%","0"
06/08/2015,"1.750%","1.755%","1.697%","1.707%","0"
06/05/2015,"1.644%","1.782%","1.643%","1.742%","0"
06/04/2015,"1.682%","1.738%","1.633%","1.643%","0"
06/03/2015,"1.606%","1.702%","1.600%","1.689%","0"
06/02/2015,"1.549%","1.623%","1.544%","1.608%","0"
06/01/2015,"1.485%","1.562%","1.467%","1.549%","0"
05/29/2015,"1.516%","1.523%","1.469%","1.487%","0"
05/28/2015,"1.539%","1.544%","1.498%","1.518%","0"
05/27/2015,"1.524%","1.565%","1.522%","1.530%","0"
05/26/2015,"1.562%","1.590%","1.515%","1.522%","0"
05/22/2015,"1.514%","1.593%","1.492%","1.562%","0"
05/21/2015,"1.553%","1.566%","1.503%","1.512%","0"
05/20/2015,"1.596%","1.601%","1.540%","1.553%","0"
05/19/2015,"1.535%","1.606%","1.487%","1.603%","0"
05/18/2015,"1.465%","1.545%","1.455%","1.536%","0"
05/15/2015,"1.508%","1.513%","1.447%","1.462%","0"
05/14/2015,"1.566%","1.576%","1.498%","1.508%","0"
05/13/2015,"1.562%","1.577%","1.493%","1.569%","0"
05/12/2015,"1.597%","1.673%","1.554%","1.564%","0"
05/11/2015,"1.485%","1.605%","1.475%","1.600%","0"
05/08/2015,"1.557%","1.583%","1.462%","1.488%","0"
05/07/2015,"1.581%","1.651%","1.540%","1.563%","0"
05/06/2015,"1.553%","1.599%","1.535%","1.590%","0"
05/05/2015,"1.502%","1.558%","1.476%","1.552%","0"
05/04/2015,"1.522%","1.527%","1.470%","1.506%","0"
05/01/2015,"1.445%","1.510%","1.440%","1.502%","0"
04/30/2015,"1.427%","1.505%","1.408%","1.427%","0"
04/29/2015,"1.406%","1.474%","1.385%","1.424%","0"
04/28/2015,"1.332%","1.406%","1.331%","1.398%","0"
04/27/2015,"1.321%","1.360%","1.306%","1.340%","0"
04/24/2015,"1.363%","1.383%","1.313%","1.316%","0"
