Date,Open,High,Low,Close,Volume
01/18/2013,"0.789%","0.811%","0.760%","0.765%","0"
01/17/2013,"0.739%","0.802%","0.728%","0.797%","0"
01/16/2013,"0.748%","0.752%","0.729%","0.742%","0"
01/15/2013,"0.765%","0.769%","0.737%","0.755%","0"
01/14/2013,"0.781%","0.782%","0.753%","0.769%","0"
01/11/2013,"0.810%","0.821%","0.771%","0.781%","0"
01/10/2013,"0.773%","0.803%","0.769%","0.800%","0"
01/09/2013,"0.785%","0.800%","0.760%","0.774%","0"
01/08/2013,"0.806%","0.819%","0.781%","0.784%","0"
01/07/2013,"0.814%","0.824%","0.795%","0.814%","0"
01/04/2013,"0.824%","0.861%","0.809%","0.814%","0"
01/03/2013,"0.771%","0.829%","0.755%","0.827%","0"
01/02/2013,"0.729%","0.833%","0.729%","0.771%","0"
