EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
11140,ANDENES                                 ,NO,+69:19:25,+016:07:12,   5
18329,E136 TRESFJORDBRUA                      ,NO,+62:36:40,+007:06:49,  20
18331,FV307 GRAVDAL                           ,NO,+59:18:13,+010:11:51,  20
18081,DRAMMEN - BERSKOG                       ,NO,+59:45:13,+010:07:25,   8
18349,E6 YTTERVIKA                            ,NO,+66:13:47,+013:52:22,   8
18352,FV555 KROSSLEITET                       ,NO,+60:19:06,+005:04:37,  72
18353,BODOE - SKIVIKA                         ,NO,+67:18:30,+014:25:51,   5
18088,ROEST LUFTHAVN                          ,NO,+67:31:36,+012:06:14,   4
18006,OVERHALLA-SKOGMO                        ,NO,+64:30:37,+012:01:11,  32
18357,E39 NORDHORDLANDSBRUA                   ,NO,+60:31:21,+005:16:01,  20
18091,SORTLAND                                ,NO,+68:42:12,+015:24:57,   3
18009,GJERPEN-ARHUS                           ,NO,+59:13:36,+009:34:38,  41
18010,OSAKER                                  ,NO,+59:19:09,+011:02:32,  45
18096,DRAMMEN - BANGELOEKKA                   ,NO,+59:43:52,+010:12:51,  14
18104,LAKSFORS                                ,NO,+65:37:17,+013:17:21,  50
18382,RV555 SOTRABRUA VIND                    ,NO,+60:22:21,+005:10:26,  50
18107,NOETTEROEY - VESTSKOGEN                 ,NO,+59:14:30,+010:24:08,  25
18390,FV310 KOTTERUD                          ,NO,+59:25:55,+010:25:18,  40
18112,LENANGSSTRAUMEN                         ,NO,+69:53:29,+020:08:19,  45
18403,RV13 ARDAL                              ,NO,+59:08:59,+006:10:25,   5
