EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 5154,134948,KRISTIANSAND - SOMSKLEIVA               ,NO,+58:09:02,+008:03:10,  12,TG21,20170124,20201231,   22,Hans Olav Hygen                                   
 5154,200646,KRISTIANSAND S - EG                     ,NO,+58:09:50,+007:58:55,  22,TG21,19570101,19750929,   22,Hans Olav Hygen                                   
 5160,135020,MELSOM                                  ,NO,+59:13:48,+010:20:54,  26,TG21,19590401,20201231,   22,Hans Olav Hygen                                   
 5160,199140,NOETTEROEY - VESTSKOGEN                 ,NO,+59:14:30,+010:24:08,  25,TG21,20151231,20201231,   22,Hans Olav Hygen                                   
 5160,199313,E18 GULLI NORD                          ,NO,+59:19:06,+010:22:29,  30,TG21,20130104,20201231,   22,Hans Olav Hygen                                   
 5160,200847,MAKEROEY                                ,NO,+59:09:28,+010:26:25,  43,TG21,19671201,19940929,   22,Hans Olav Hygen                                   
11093,156729,ULVIK-HJELTNES                          ,NO,+60:33:49,+006:55:57,  42,TG21,19660601,20201231,   22,Hans Olav Hygen                                   
11094,109748,TAFJORD                                 ,NO,+62:14:01,+007:25:00,  15,TG21,19300617,20201231,   22,Hans Olav Hygen                                   
11094,156741,LINGE                                   ,NO,+62:17:18,+007:13:02,  24,TG21,19610101,20201231,   22,Hans Olav Hygen                                   
11094,901218,TAFJORD                                 ,NO,+62:14:00,+007:25:00,  17, TG5,19820113,20200228,     ,                    
11096,156765,SORTLAND-KLEIVA                         ,NO,+68:38:54,+015:16:58,  14,TG21,19570901,20201231,   22,Hans Olav Hygen                                   
11096,199086,SORTLAND                                ,NO,+68:42:12,+015:24:57,   3,TG21,19850101,20191208,   22,Hans Olav Hygen                                   
11098,156789,RANHEIM                                 ,NO,+63:25:29,+010:32:01,  23,TG21,20121015,20201231,   22,Hans Olav Hygen                                   
11098,199266,LADE                                    ,NO,+63:26:34,+010:26:34,  13,TG21,20121015,20201231,   22,Hans Olav Hygen                                   
11114,156894,SKALVAER                                ,NO,+65:52:00,+012:11:00,   6,TG21,19540101,19800531,   22,Hans Olav Hygen                                   
11114,199556,TJOTTA                                  ,NO,+65:49:46,+012:25:32,  21,TG21,19940115,20201231,   22,Hans Olav Hygen                                   
11114,901117,TJOTTA                                  ,NO,+65:49:59,+012:26:00,  21, TG5,20111005,20200220,     ,                    
11122,156990,NORD-SOLVAER                            ,NO,+66:22:06,+012:38:40,   7,TG21,19540101,19980913,   22,Hans Olav Hygen                                   
11122,199306,SOLVAER III                             ,NO,+66:22:15,+012:36:39,  10,TG21,20071101,20201231,   22,Hans Olav Hygen                                   
11122,200929,SOLVAER - SLENESET                      ,NO,+66:21:59,+012:36:55,   6,TG21,19981001,20060214,   22,Hans Olav Hygen                                   
11122,901121,SOLVAER III                             ,NO,+66:21:59,+012:37:00,  12, TG5,19820123,20200229,     ,                    
11124,157014,MYKEN                                   ,NO,+66:45:38,+012:28:39,  19,TG21,19540101,19910731,   22,Hans Olav Hygen                                   
11124,199396,MYKEN                                   ,NO,+66:45:46,+012:29:10,  17,TG21,19921001,20201231,   22,Hans Olav Hygen                                   
11124,901115,MYKEN                                   ,NO,+66:46:00,+012:29:00,  13, TG5,19820113,20200229,     ,                    
11127,157050,HELLIGVAER                              ,NO,+67:25:33,+013:55:29,  14,TG21,19570101,19730630,   22,Hans Olav Hygen                                   
11127,199458,HELLIGVAER II                           ,NO,+67:24:17,+013:53:45,  24,TG21,20050101,20201231,   22,Hans Olav Hygen                                   
11134,133940,NARVIK LUFTHAVN                         ,NO,+68:26:23,+017:23:19,  31,TG21,20020801,20170404,   22,Hans Olav Hygen                                   
11134,157134,NARVIK II                               ,NO,+68:28:08,+017:29:32,  32,TG21,19540101,19750831,   22,Hans Olav Hygen                                   
11134,199345,E6 HALOGALANDSBRUA                      ,NO,+68:28:06,+017:28:55,  44,TG21,20190418,20201231,   22,Hans Olav Hygen                                   
11134,199398,NARVIK SENTRUM                          ,NO,+68:26:14,+017:25:16,  31,TG21,20181214,20201231,   22,Hans Olav Hygen                                   
11134,200805,NARVIK III                              ,NO,+68:28:11,+017:29:54,  17,TG21,19750901,20020530,   22,Hans Olav Hygen                                   
11134,901194,NARVIK III                              ,NO,+68:28:00,+017:30:00,  17, TG5,19820113,20020531,     ,                    
11136,157158,GLAPEN FYR                              ,NO,+67:53:00,+013:03:00,  31,TG21,19570101,19840331,   22,Hans Olav Hygen                                   
11136,199704,E10 AKKARVIKA                           ,NO,+67:57:46,+013:09:15,  54,TG21,20150115,20201231,   22,Hans Olav Hygen                                   
11140,112082,ANDOYA                                  ,NO,+69:18:00,+016:09:00,  14,TG21,19580601,20201231,   22,Hans Olav Hygen                                   
11140,157206,ANDENES                                 ,NO,+69:19:25,+016:07:12,   5,TG21,18670710,19720331,   22,Hans Olav Hygen                                   
11140,200880,ANDOEYA LH - TEST                       ,NO,+69:15:48,+016:10:48,  13,TG21,20050823,20090524,   22,Hans Olav Hygen                                   
11140,901010,ANDOYA                                  ,NO,+69:18:00,+016:08:00,  14, TG5,19820113,20160104,     ,                    
18329,199042,E136 TRESFJORDBRUA                      ,NO,+62:36:40,+007:06:49,  20,TG21,20160419,20201231,   22,Hans Olav Hygen                                   
18329,200823,HJELVIK - MYRBOE                        ,NO,+62:36:31,+007:13:45,  35,TG21,19990927,20090629,   22,Hans Olav Hygen                                   
18329,200943,HJELVIK I ROMSDAL                       ,NO,+62:36:58,+007:12:39,  21,TG21,19730901,19921129,   22,Hans Olav Hygen                                   
18329,901215,HJELVIK-MYRBO                           ,NO,+62:37:00,+007:13:59,  35, TG5,19820113,20170628,     ,                    
18331,135020,MELSOM                                  ,NO,+59:13:48,+010:20:54,  26,TG21,19590401,20201231,   22,Hans Olav Hygen                                   
18331,199045,FV307 GRAVDAL                           ,NO,+59:18:13,+010:11:51,  20,TG21,20130104,20201231,   22,Hans Olav Hygen                                   
18331,199184,TOENSBERG - TARANROED                   ,NO,+59:17:38,+010:17:54,  33,TG21,20131201,20201231,   22,Hans Olav Hygen                                   
18331,199238,RAMNES - KILE VESTRE                    ,NO,+59:22:51,+010:14:23,  39,TG21,20130206,20201231,   22,Hans Olav Hygen                                   
18331,200987,JARLSBERG FLYPLASS                      ,NO,+59:18:05,+010:22:02,  25,TG21,20030204,20030204,   22,Hans Olav Hygen                                   
18081,199065,DRAMMEN - BERSKOG                       ,NO,+59:45:13,+010:07:25,   8,TG21,20041001,20201231,   22,Hans Olav Hygen                                   
18081,200761,DRAMMEN - MARIENLYST                    ,NO,+59:44:14,+010:12:07,   3,TG21,19660501,20031030,   22,Hans Olav Hygen                                   
18349,199067,E6 YTTERVIKA                            ,NO,+66:13:47,+013:52:22,   8,TG21,20190129,20201231,   22,Hans Olav Hygen                                   
18349,199273,SKAMDAL                                 ,NO,+66:14:05,+013:54:14,   5,TG21,20110922,20201231,   22,Hans Olav Hygen                                   
18349,200644,NERDAL I RANA                           ,NO,+66:15:42,+013:58:17,  31,TG21,19660901,19891030,   22,Hans Olav Hygen                                   
18352,110655,BERGEN/FLESLAND                         ,NO,+60:17:21,+005:13:35,  48,TG21,19551002,20201231,   22,Hans Olav Hygen                                   
18352,199072,FV555 KROSSLEITET                       ,NO,+60:19:06,+005:04:37,  72,TG21,20141220,20201231,   22,Hans Olav Hygen                                   
18352,199130,RV555 SOTRABRUA VIND                    ,NO,+60:22:21,+005:10:26,  50,TG21,20161119,20201231,   22,Hans Olav Hygen                                   
18353,105468,BODOE VI                                ,NO,+67:16:02,+014:21:32,  11,TG21,19540101,20201231,   22,Hans Olav Hygen                                   
18353,199073,BODOE - SKIVIKA                         ,NO,+67:18:30,+014:25:51,   5,TG21,20170124,20201231,   22,Hans Olav Hygen                                   
18353,199182,RV80 HUNSTAD                            ,NO,+67:16:42,+014:31:02,  25,TG21,20140101,20201120,   22,Hans Olav Hygen                                   
18088,199078,ROEST LUFTHAVN                          ,NO,+67:31:36,+012:06:14,   4,TG21,20021001,20201231,   22,Hans Olav Hygen                                   
18088,200698,ROEST II                                ,NO,+67:30:23,+012:04:34,  10,TG21,19790101,19971028,   22,Hans Olav Hygen                                   
18088,200864,ROEST III                               ,NO,+67:31:30,+012:06:14,   4,TG21,19980401,20081230,   22,Hans Olav Hygen                                   
18088,200886,ROEST                                   ,NO,+67:30:22,+012:04:08,   8,TG21,19570101,19691030,   22,Hans Olav Hygen                                   
18088,901106,ROEST III                               ,NO,+67:31:00,+012:06:00,   4, TG5,19820114,19971028,     ,                    
18006,199080,OVERHALLA-SKOGMO                        ,NO,+64:30:37,+012:01:11,  32,TG21,20130101,20201231,   22,Hans Olav Hygen                                   
18006,200582,HOEYLANDET - DRAGEIDET                  ,NO,+64:33:30,+012:10:56,  29,TG21,19981204,20070611,   22,Hans Olav Hygen                                   
18006,901295,HOYLANDET-DRAG.                         ,NO,+64:33:00,+012:09:00,  29, TG5,19820114,20070610,     ,                    
18357,199084,E39 NORDHORDLANDSBRUA                   ,NO,+60:31:21,+005:16:01,  20,TG21,20140110,20201231,   22,Hans Olav Hygen                                   
18357,199724,FV217 STEINRUSTEN                       ,NO,+60:26:29,+005:10:50,  17,TG21,20141224,20201231,   22,Hans Olav Hygen                                   
18091,156765,SORTLAND-KLEIVA                         ,NO,+68:38:54,+015:16:58,  14,TG21,19570901,20201231,   22,Hans Olav Hygen                                   
18091,199086,SORTLAND                                ,NO,+68:42:12,+015:24:57,   3,TG21,19850101,20191208,   22,Hans Olav Hygen                                   
18009,199091,GJERPEN-ARHUS                           ,NO,+59:13:36,+009:34:38,  41,TG21,20130206,20201231,   22,Hans Olav Hygen                                   
18009,200706,RV36 FJAEREKILEN                        ,NO,+59:11:08,+009:32:25,  20,TG21,20130104,20201231,   22,Hans Olav Hygen                                   
18010,109851,SARPSBORG                               ,NO,+59:17:09,+011:06:53,  57,TG21,19911201,20201231,   22,Hans Olav Hygen                                   
18010,199092,OSAKER                                  ,NO,+59:19:09,+011:02:32,  45,TG21,20130101,20201231,   22,Hans Olav Hygen                                   
18010,200816,KALNES                                  ,NO,+59:18:55,+011:02:56,  56,TG21,19570101,19820730,   22,Hans Olav Hygen                                   
18010,901493,SARPSBORG                               ,NO,+59:17:00,+011:07:00,  57, TG5,20060128,20200229,     ,                    
18096,199065,DRAMMEN - BERSKOG                       ,NO,+59:45:13,+010:07:25,   8,TG21,20041001,20201231,   22,Hans Olav Hygen                                   
18096,199104,DRAMMEN - BANGELOEKKA                   ,NO,+59:43:52,+010:12:51,  14,TG21,20150629,20201231,   22,Hans Olav Hygen                                   
18096,199508,DRAMMEN - SLETTA                        ,NO,+59:44:40,+010:13:52,   4,TG21,20171102,20201231,   22,Hans Olav Hygen                                   
18096,200761,DRAMMEN - MARIENLYST                    ,NO,+59:44:14,+010:12:07,   3,TG21,19660501,20031030,   22,Hans Olav Hygen                                   
18104,199126,LAKSFORS                                ,NO,+65:37:17,+013:17:21,  50,TG21,20111120,20201231,   22,Hans Olav Hygen                                   
18104,200685,GRANE II                                ,NO,+65:35:12,+013:23:00,  42,TG21,19751115,19860720,   22,Hans Olav Hygen                                   
18104,200878,GRANE                                   ,NO,+65:35:21,+013:22:42,  66,TG21,19751115,19810517,   22,Hans Olav Hygen                                   
18382,110655,BERGEN/FLESLAND                         ,NO,+60:17:21,+005:13:35,  48,TG21,19551002,20201231,   22,Hans Olav Hygen                                   
18382,199072,FV555 KROSSLEITET                       ,NO,+60:19:06,+005:04:37,  72,TG21,20141220,20201231,   22,Hans Olav Hygen                                   
18382,199130,RV555 SOTRABRUA VIND                    ,NO,+60:22:21,+005:10:26,  50,TG21,20161119,20201231,   22,Hans Olav Hygen                                   
18382,199412,BERGEN - FLORIDA UIB                    ,NO,+60:23:01,+005:19:55,  46,TG21,20170804,20201231,   22,Hans Olav Hygen                                   
18382,200691,RV555 SOTRABRUA                         ,NO,+60:22:19,+005:09:20,  30,TG21,20140103,20201231,   22,Hans Olav Hygen                                   
18382,200866,BERGEN - FREDRIKSBERG                   ,NO,+60:23:48,+005:18:31,  41,TG21,19040101,19850227,   22,Hans Olav Hygen                                   
18382,901317,BERGEN/FLORIDA                          ,NO,+60:23:00,+005:20:00,  36, TG5,19820113,20200229,     ,                    
18107,135020,MELSOM                                  ,NO,+59:13:48,+010:20:54,  26,TG21,19590401,20201231,   22,Hans Olav Hygen                                   
18107,199140,NOETTEROEY - VESTSKOGEN                 ,NO,+59:14:30,+010:24:08,  25,TG21,20151231,20201231,   22,Hans Olav Hygen                                   
18107,199313,E18 GULLI NORD                          ,NO,+59:19:06,+010:22:29,  30,TG21,20130104,20201231,   22,Hans Olav Hygen                                   
18107,200847,MAKEROEY                                ,NO,+59:09:28,+010:26:25,  43,TG21,19671201,19940929,   22,Hans Olav Hygen                                   
18390,199141,FV310 KOTTERUD                          ,NO,+59:25:55,+010:25:18,  40,TG21,20130104,20201231,   22,Hans Olav Hygen                                   
18390,199238,RAMNES - KILE VESTRE                    ,NO,+59:22:51,+010:14:23,  39,TG21,20130206,20201231,   22,Hans Olav Hygen                                   
18390,199359,ASGARDSTRAND                            ,NO,+59:21:23,+010:27:36,  61,TG21,20180929,20201231,   22,Hans Olav Hygen                                   
18390,199440,FV650 BORRE                             ,NO,+59:21:13,+010:22:57,  55,TG21,20130106,20201231,   22,Hans Olav Hygen                                   
18390,199622,HORTEN - SKOPPUM                        ,NO,+59:23:04,+010:23:55,  40,TG21,20180929,20201231,   22,Hans Olav Hygen                                   
18112,199155,LENANGSSTRAUMEN                         ,NO,+69:53:29,+020:08:19,  45,TG21,20161011,20201231,   22,Hans Olav Hygen                                   
18112,200927,NORD-LENANGEN                           ,NO,+69:54:43,+020:09:18,  23,TG21,19691101,19740629,   22,Hans Olav Hygen                                   
18403,199160,RV13 ARDAL                              ,NO,+59:08:59,+006:10:25,   5,TG21,20131015,20201231,   22,Hans Olav Hygen                                   
18403,200924,FISTER                                  ,NO,+59:10:36,+006:04:06,   1,TG21,19540101,19910730,   22,Hans Olav Hygen                                   
18403,901422,FISTER_SIGMUNDSTAD                      ,NO,+59:10:00,+006:02:00,  25, TG5,20080126,20200229,     ,                    
18113,199161,MANDAL III                              ,NO,+58:01:29,+007:27:06,  10,TG21,20090827,20201231,   22,Hans Olav Hygen                                   
18113,200923,MANDAL                                  ,NO,+58:01:43,+007:27:35,   6,TG21,19310101,19490530,   22,Hans Olav Hygen                                   
18113,201001,MANDAL - EIGEBREKK                      ,NO,+58:00:50,+007:36:31,  10,TG21,19970702,19970730,   22,Hans Olav Hygen                                   
18113,901430,MANDAL III                              ,NO,+58:01:00,+007:27:00,  12, TG5,20100420,20200229,     ,                    
18114,109748,TAFJORD                                 ,NO,+62:14:01,+007:25:00,  15,TG21,19300617,20201231,   22,Hans Olav Hygen                                   
18114,156741,LINGE                                   ,NO,+62:17:18,+007:13:02,  24,TG21,19610101,20201231,   22,Hans Olav Hygen                                   
18114,199163,VALLDAL - MURI                          ,NO,+62:17:49,+007:15:09,   2,TG21,20140901,20201231,   22,Hans Olav Hygen                                   
18114,901218,TAFJORD                                 ,NO,+62:14:00,+007:25:00,  17, TG5,19820113,20200228,     ,                    
18118,133748,VIGRA                                   ,NO,+62:33:42,+006:06:54,  22,TG21,19580701,20201231,   22,Hans Olav Hygen                                   
18118,199170,ALESUND IV                              ,NO,+62:28:13,+006:12:39,  15,TG21,20090625,20201231,   22,Hans Olav Hygen                                   
18118,199314,FV395 ALESUND                           ,NO,+62:28:13,+006:11:40,  10,TG21,20150912,20201231,   22,Hans Olav Hygen                                   
18123,134900,TROMSO - LANGNES                        ,NO,+69:40:36,+018:54:48,   8,TG21,19641001,20201231,   22,Hans Olav Hygen                                   
18123,199181,TROMSDALEN                              ,NO,+69:39:03,+019:00:23,   3,TG21,20111021,20201231,   22,Hans Olav Hygen                                   
18123,199703,TROMSO - HOLT                           ,NO,+69:39:14,+018:54:34,  20,TG21,19940120,20201231,   22,Hans Olav Hygen                                   
18123,200836,SKATTOERA                               ,NO,+69:41:49,+019:01:15,  14,TG21,19570101,19640830,   22,Hans Olav Hygen                                   
18412,105468,BODOE VI                                ,NO,+67:16:02,+014:21:32,  11,TG21,19540101,20201231,   22,Hans Olav Hygen                                   
18412,111167,BODOE - VAGONES                         ,NO,+67:17:00,+014:28:00,  33,TG21,19940115,20140630,   22,Hans Olav Hygen                                   
18412,199073,BODOE - SKIVIKA                         ,NO,+67:18:30,+014:25:51,   5,TG21,20170124,20201231,   22,Hans Olav Hygen                                   
18412,199182,RV80 HUNSTAD                            ,NO,+67:16:42,+014:31:02,  25,TG21,20140101,20201120,   22,Hans Olav Hygen                                   
18412,199438,RV80 BERTNES                            ,NO,+67:17:16,+014:35:36,  30,TG21,20140101,20201231,   22,Hans Olav Hygen                                   
18124,135020,MELSOM                                  ,NO,+59:13:48,+010:20:54,  26,TG21,19590401,20201231,   22,Hans Olav Hygen                                   
18124,199045,FV307 GRAVDAL                           ,NO,+59:18:13,+010:11:51,  20,TG21,20130104,20201231,   22,Hans Olav Hygen                                   
18124,199184,TOENSBERG - TARANROED                   ,NO,+59:17:38,+010:17:54,  33,TG21,20131201,20201231,   22,Hans Olav Hygen                                   
18124,199313,E18 GULLI NORD                          ,NO,+59:19:06,+010:22:29,  30,TG21,20130104,20201231,   22,Hans Olav Hygen                                   
18124,200987,JARLSBERG FLYPLASS                      ,NO,+59:18:05,+010:22:02,  25,TG21,20030204,20030204,   22,Hans Olav Hygen                                   
18126,135020,MELSOM                                  ,NO,+59:13:48,+010:20:54,  26,TG21,19590401,20201231,   22,Hans Olav Hygen                                   
18126,199186,TJOEME                                  ,NO,+59:07:15,+010:23:53,  32,TG21,20160823,20201231,   22,Hans Olav Hygen                                   
18126,199679,FV308 TJOEME-BUDAL                      ,NO,+59:07:30,+010:23:05,  16,TG21,20151118,20201231,   22,Hans Olav Hygen                                   
18126,200847,MAKEROEY                                ,NO,+59:09:28,+010:26:25,  43,TG21,19671201,19940929,   22,Hans Olav Hygen                                   
18126,901482,FERDER LH                               ,NO,+59:02:00,+010:32:00,   8, TG5,19820113,20200229,     ,                    
18131,199195,SKIBOTN II                              ,NO,+69:23:15,+020:16:56,  20,TG21,20041101,20201231,   22,Hans Olav Hygen                                   
18131,200817,SKIBOTN - FOSSBAKK                      ,NO,+69:22:06,+020:16:06,   5,TG21,19840901,20041025,   22,Hans Olav Hygen                                   
18131,201003,SKIBOTN - MELA                          ,NO,+69:22:00,+020:17:00,   8,TG21,19740801,19840830,   22,Hans Olav Hygen                                   
18131,901036,SKIBOTN                                 ,NO,+69:22:00,+020:16:00,   0, TG5,20020910,20200229,     ,                    
18131,901037,SKIBOTN 2                               ,NO,+69:23:00,+020:16:00,   6, TG5,20050409,20200229,     ,                    
18132,199196,KVITSOEY - NORDBOE                      ,NO,+59:04:14,+005:24:44,  21,TG21,20050427,20201231,   22,Hans Olav Hygen                                   
18132,200794,SKUDENES                                ,NO,+59:08:59,+005:15:38,   7,TG21,19000101,19371230,   22,Hans Olav Hygen                                   
18139,199217,VOSSEVANGEN                             ,NO,+60:37:30,+006:25:35,  54,TG21,20040130,20201231,   22,Hans Olav Hygen                                   
18139,200732,VOSS II                                 ,NO,+60:37:39,+006:25:31,  61,TG21,19350816,19611030,   22,Hans Olav Hygen                                   
18139,201016,VOSS - TVILDEMOEN                       ,NO,+60:37:53,+006:25:57,  66,TG21,19611101,19620530,   22,Hans Olav Hygen                                   
18432,105463,BERGEN FLORIDA                          ,NO,+60:23:00,+005:20:00,  12,TG21,19570101,20201231,   22,Hans Olav Hygen                                   
18432,199224,E16 INDRE ARNA                          ,NO,+60:25:17,+005:27:40,  20,TG21,20151127,20201231,   22,Hans Olav Hygen                                   
18432,200576,BERGEN - PLEIESTIFTELSEN                ,NO,+60:23:18,+005:20:28,  22,TG21,19000101,19261230,   22,Hans Olav Hygen                                   
18432,200866,BERGEN - FREDRIKSBERG                   ,NO,+60:23:48,+005:18:31,  41,TG21,19040101,19850227,   22,Hans Olav Hygen                                   
18144,199232,FEDJE                                   ,NO,+60:46:48,+004:43:12,  19,TG21,20040827,20201231,   22,Hans Olav Hygen                                   
18144,201018,HELLISOEY FYR                           ,NO,+60:45:10,+004:42:38,  20,TG21,19510101,20141215,   22,Hans Olav Hygen                                   
18144,901306,HELLISOY FYR                            ,NO,+60:45:00,+004:43:00,   0, TG5,19820113,19920804,     ,                    
18145,100580,SVALBARD AIRPORT                        ,NO,+78:15:00,+015:28:00,  28,TG21,19750801,20201231,   22,Hans Olav Hygen                                   
18145,199233,ADVENTDALEN                             ,NO,+78:12:08,+015:49:52,  15,TG21,20161122,20201231,   22,Hans Olav Hygen                                   
18145,200882,LONGYEARBYEN                            ,SJ,+78:13:21,+015:37:30,  37,TG21,19110816,19770730,   22,Hans Olav Hygen                                   
18438,199234,OSLO - LILLEAKER                        ,NO,+59:55:13,+010:38:03,  39,TG21,20120201,20200528,   22,Hans Olav Hygen                                   
18438,199424,OSLO - BYGDOEY                          ,NO,+59:54:18,+010:40:58,  15,TG21,20120201,20201231,   22,Hans Olav Hygen                                   
18438,200667,DOENSKI                                 ,NO,+59:54:01,+010:30:04,  59,TG21,19700201,20030830,   22,Hans Olav Hygen                                   
18438,200771,BYGDOEY                                 ,NO,+59:54:00,+010:40:00,  23,TG21,19370101,19410213,   22,Hans Olav Hygen                                   
18438,200898,OSLO - OBSERVATORIET (HYTTE)            ,NO,+59:54:46,+010:43:03,  25,TG21,19000101,19370429,   22,Hans Olav Hygen                                   
18032,199045,FV307 GRAVDAL                           ,NO,+59:18:13,+010:11:51,  20,TG21,20130104,20201231,   22,Hans Olav Hygen                                   
18032,199184,TOENSBERG - TARANROED                   ,NO,+59:17:38,+010:17:54,  33,TG21,20131201,20201231,   22,Hans Olav Hygen                                   
18032,199238,RAMNES - KILE VESTRE                    ,NO,+59:22:51,+010:14:23,  39,TG21,20130206,20201231,   22,Hans Olav Hygen                                   
18032,200987,JARLSBERG FLYPLASS                      ,NO,+59:18:05,+010:22:02,  25,TG21,20030204,20030204,   22,Hans Olav Hygen                                   
18150,135020,MELSOM                                  ,NO,+59:13:48,+010:20:54,  26,TG21,19590401,20201231,   22,Hans Olav Hygen                                   
18150,199140,NOETTEROEY - VESTSKOGEN                 ,NO,+59:14:30,+010:24:08,  25,TG21,20151231,20201231,   22,Hans Olav Hygen                                   
18150,199248,TOENSBERG - KILEN                       ,NO,+59:16:42,+010:25:52,   3,TG21,20100413,20201231,   22,Hans Olav Hygen                                   
18150,200764,SLAGENTANGEN II                         ,NO,+59:19:00,+010:31:00,   3,TG21,19730801,19831230,   22,Hans Olav Hygen                                   
18150,200987,JARLSBERG FLYPLASS                      ,NO,+59:18:05,+010:22:02,  25,TG21,20030204,20030204,   22,Hans Olav Hygen                                   
18150,901481,MELSOM                                  ,NO,+59:14:00,+010:21:00,  26, TG5,19820115,20200229,     ,                    
18448,133748,VIGRA                                   ,NO,+62:33:42,+006:06:54,  22,TG21,19580701,20201231,   22,Hans Olav Hygen                                   
18448,199170,ALESUND IV                              ,NO,+62:28:13,+006:12:39,  15,TG21,20090625,20201231,   22,Hans Olav Hygen                                   
18448,199253,FV658 GISKEBRUA                         ,NO,+62:30:30,+006:04:34,  17,TG21,20171130,20201231,   22,Hans Olav Hygen                                   
18448,199314,FV395 ALESUND                           ,NO,+62:28:13,+006:11:40,  10,TG21,20150912,20201231,   22,Hans Olav Hygen                                   
18456,199265,E6 KLETT                                ,NO,+63:19:25,+010:19:06,  40,TG21,20140105,20201231,   22,Hans Olav Hygen                                   
18456,199478,SKJETLEIN                               ,NO,+63:20:25,+010:17:50,  44,TG21,20130206,20201231,   22,Hans Olav Hygen                                   
18456,200839,TRONDHEIM II                            ,NO,+63:25:35,+010:25:04,  58,TG21,19270413,19431230,   22,Hans Olav Hygen                                   
18161,199067,E6 YTTERVIKA                            ,NO,+66:13:47,+013:52:22,   8,TG21,20190129,20201231,   22,Hans Olav Hygen                                   
18161,199273,SKAMDAL                                 ,NO,+66:14:05,+013:54:14,   5,TG21,20110922,20201231,   22,Hans Olav Hygen                                   
18461,199092,OSAKER                                  ,NO,+59:19:09,+011:02:32,  45,TG21,20130101,20201231,   22,Hans Olav Hygen                                   
18461,199277,E6 KARLSHUS                             ,NO,+59:21:01,+010:53:49,  50,TG21,20130105,20201231,   22,Hans Olav Hygen                                   
18461,200741,ROED I RADE                             ,NO,+59:20:25,+010:53:42,  34,TG21,19591001,19711230,   22,Hans Olav Hygen                                   
18461,200816,KALNES                                  ,NO,+59:18:55,+011:02:56,  56,TG21,19570101,19820730,   22,Hans Olav Hygen                                   
18461,901494,RYGGE                                   ,NO,+59:23:00,+010:47:00,  53, TG5,19820113,20200229,     ,                    
18036,109824,RADE - TOMB                             ,NO,+59:19:00,+010:49:00,  14,TG21,19570101,20201231,   22,Hans Olav Hygen                                   
18036,199277,E6 KARLSHUS                             ,NO,+59:21:01,+010:53:49,  50,TG21,20130105,20201231,   22,Hans Olav Hygen                                   
18036,199294,RYGGE - HUGGENES                        ,NO,+59:23:53,+010:45:15,  35,TG21,20130213,20201231,   22,Hans Olav Hygen                                   
18036,199482,FV120 ROEDSUND                          ,NO,+59:28:35,+010:47:24,  30,TG21,20130104,20201231,   22,Hans Olav Hygen                                   
18036,199566,GULLHOLMEN                              ,NO,+59:26:07,+010:34:41,  14,TG21,20100601,20201231,   22,Hans Olav Hygen                                   
18036,200741,ROED I RADE                             ,NO,+59:20:25,+010:53:42,  34,TG21,19591001,19711230,   22,Hans Olav Hygen                                   
18036,200768,JELOEY                                  ,NO,+59:26:19,+010:35:38,  12,TG21,19600801,19900429,   22,Hans Olav Hygen                                   
18036,901494,RYGGE                                   ,NO,+59:23:00,+010:47:00,  53, TG5,19820113,20200229,     ,                    
18472,199298,E18 HJORTNES                            ,NO,+59:54:40,+010:42:15,  20,TG21,20130104,20200827,   22,Hans Olav Hygen                                   
18472,199424,OSLO - BYGDOEY                          ,NO,+59:54:18,+010:40:58,  15,TG21,20120201,20201231,   22,Hans Olav Hygen                                   
18472,200771,BYGDOEY                                 ,NO,+59:54:00,+010:40:00,  23,TG21,19370101,19410213,   22,Hans Olav Hygen                                   
18472,200898,OSLO - OBSERVATORIET (HYTTE)            ,NO,+59:54:46,+010:43:03,  25,TG21,19000101,19370429,   22,Hans Olav Hygen                                   
18472,200944,FORNEBU                                 ,NO,+59:53:34,+010:36:57,  10,TG21,19540101,19981007,   22,Hans Olav Hygen                                   
18474,199300,E6 NORDNES                              ,NO,+69:35:06,+020:23:56,  18,TG21,20150414,20201231,   22,Hans Olav Hygen                                   
