EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 2581,109739,ONA II                                  ,NO,+62:51:35,+006:32:22,  13,TG21,19780901,20201231,   22,Hans Olav Hygen                                   
 2581,901212,ONA II                                  ,NO,+62:52:00,+006:32:00,  15, TG5,19820113,20200229,     ,                    
 2582,109721,ONA                                     ,NO,+62:52:00,+006:33:00,  11,TG21,19110101,19630331,   22,Hans Olav Hygen                                   
 2582,109730,ONA HUSOY                               ,NO,+62:52:00,+006:32:00,   8,TG21,19630501,19780630,   22,Hans Olav Hygen                                   
 2582,109739,ONA II                                  ,NO,+62:51:35,+006:32:22,  13,TG21,19780901,20201231,   22,Hans Olav Hygen                                   
 2582,901212,ONA II                                  ,NO,+62:52:00,+006:32:00,  15, TG5,19820113,20200229,     ,                    
  329,109721,ONA                                     ,NO,+62:52:00,+006:33:00,  11,TG21,19110101,19630331,   22,Hans Olav Hygen                                   
  329,109730,ONA HUSOY                               ,NO,+62:52:00,+006:32:00,   8,TG21,19630501,19780630,   22,Hans Olav Hygen                                   
  329,109739,ONA II                                  ,NO,+62:51:35,+006:32:22,  13,TG21,19780901,20201231,   22,Hans Olav Hygen                                   
  329,901212,ONA II                                  ,NO,+62:52:00,+006:32:00,  15, TG5,19820113,20200229,     ,                    
