Date,Open,High,Low,Close,Volume
01/18/2013,"0.266%","0.287%","0.246%","0.262%","0"
01/17/2013,"0.250%","0.294%","0.234%","0.274%","0"
01/16/2013,"0.262%","0.274%","0.241%","0.253%","0"
01/15/2013,"0.253%","0.273%","0.237%","0.261%","0"
01/14/2013,"0.257%","0.269%","0.237%","0.257%","0"
01/11/2013,"0.257%","0.277%","0.237%","0.257%","0"
01/10/2013,"0.244%","0.272%","0.232%","0.256%","0"
01/09/2013,"0.264%","0.280%","0.240%","0.248%","0"
01/08/2013,"0.272%","0.284%","0.248%","0.256%","0"
01/07/2013,"0.275%","0.292%","0.264%","0.284%","0"
01/04/2013,"0.271%","0.307%","0.260%","0.275%","0"
01/03/2013,"0.271%","0.287%","0.247%","0.283%","0"
01/02/2013,"0.259%","0.283%","0.259%","0.271%","0"
