Date,Open,High,Low,Close,Volume
01/20/2016,"0.874%","0.874%","0.793%","0.829%","0"
01/19/2016,"0.850%","0.898%","0.842%","0.866%","0"
01/15/2016,"0.899%","0.907%","0.802%","0.854%","0"
01/14/2016,"0.907%","0.931%","0.879%","0.899%","0"
01/13/2016,"0.936%","0.960%","0.891%","0.907%","0"
01/12/2016,"0.944%","0.976%","0.895%","0.928%","0"
01/11/2016,"0.940%","0.972%","0.904%","0.936%","0"
01/08/2016,"0.960%","1.016%","0.912%","0.932%","0"
01/07/2016,"0.984%","1.012%","0.936%","0.952%","0"
01/06/2016,"1.016%","1.028%","0.968%","0.980%","0"
01/05/2016,"1.032%","1.064%","1.008%","1.016%","0"
01/04/2016,"1.076%","1.080%","1.000%","1.040%","0"
12/31/2015,"1.076%","1.092%","1.024%","1.060%","0"
12/30/2015,"1.087%","1.123%","1.063%","1.075%","0"
12/29/2015,"1.059%","1.111%","1.044%","1.095%","0"
12/28/2015,"1.023%","1.040%","0.994%","1.019%","0"
12/24/2015,"0.994%","1.027%","0.982%","0.998%","0"
12/23/2015,"0.977%","1.006%","0.965%","0.985%","0"
12/22/2015,"0.957%","0.985%","0.936%","0.977%","0"
12/21/2015,"0.969%","0.981%","0.932%","0.961%","0"
12/18/2015,"0.997%","0.997%","0.932%","0.948%","0"
12/17/2015,"1.009%","1.025%","0.976%","0.988%","0"
12/16/2015,"0.968%","1.033%","0.960%","1.005%","0"
12/15/2015,"0.944%","1.000%","0.936%","0.968%","0"
12/14/2015,"0.895%","0.968%","0.887%","0.948%","0"
12/11/2015,"0.952%","0.964%","0.871%","0.887%","0"
12/10/2015,"0.927%","0.967%","0.915%","0.955%","0"
12/09/2015,"0.943%","0.959%","0.907%","0.919%","0"
12/08/2015,"0.939%","0.963%","0.915%","0.935%","0"
12/07/2015,"0.959%","0.975%","0.907%","0.923%","0"
12/04/2015,"0.947%","0.999%","0.907%","0.955%","0"
12/03/2015,"0.943%","1.006%","0.931%","0.955%","0"
12/02/2015,"0.927%","0.966%","0.919%","0.946%","0"
12/01/2015,"0.938%","0.958%","0.883%","0.919%","0"
11/30/2015,"0.926%","0.958%","0.903%","0.934%","0"
11/27/2015,"0.938%","0.946%","0.915%","0.922%","0"
11/26/2015,"0.938%","0.938%","0.938%","0.938%","0"
11/25/2015,"0.934%","0.962%","0.910%","0.942%","0"
11/24/2015,"0.957%","0.969%","0.899%","0.930%","0"
11/23/2015,"0.909%","0.954%","0.905%","0.913%","0"
11/20/2015,"0.897%","0.934%","0.864%","0.921%","0"
11/19/2015,"0.888%","0.912%","0.856%","0.896%","0"
11/18/2015,"0.859%","0.916%","0.851%","0.880%","0"
11/17/2015,"0.859%","0.904%","0.835%","0.867%","0"
11/16/2015,"0.823%","0.875%","0.815%","0.847%","0"
11/13/2015,"0.887%","0.891%","0.835%","0.847%","0"
