Date,Open,High,Low,Close,Volume
01/20/2021,"0.141%","0.157%","0.113%","0.145%","0"
01/19/2021,"0.129%","0.153%","0.113%","0.141%","0"
01/17/2021,"0.129%","0.129%","0.129%","0.129%","0"
01/15/2021,"0.145%","0.161%","0.121%","0.129%","0"
01/14/2021,"0.149%","0.165%","0.125%","0.145%","0"
01/13/2021,"0.145%","0.161%","0.137%","0.149%","0"
01/12/2021,"0.149%","0.161%","0.137%","0.145%","0"
01/11/2021,"0.137%","0.165%","0.129%","0.149%","0"
01/08/2021,"0.141%","0.153%","0.125%","0.137%","0"
01/07/2021,"0.145%","0.161%","0.125%","0.141%","0"
01/06/2021,"0.125%","0.161%","0.121%","0.145%","0"
01/05/2021,"0.125%","0.137%","0.105%","0.125%","0"
01/04/2021,"0.121%","0.133%","0.101%","0.125%","0"
12/31/2020,"0.125%","0.137%","0.109%","0.121%","0"
12/30/2020,"0.133%","0.149%","0.109%","0.125%","0"
12/29/2020,"0.129%","0.148%","0.113%","0.133%","0"
12/28/2020,"0.121%","0.145%","0.117%","0.129%","0"
12/24/2020,"0.133%","0.133%","0.109%","0.121%","0"
12/23/2020,"0.121%","0.137%","0.109%","0.133%","0"
12/22/2020,"0.125%","0.133%","0.109%","0.121%","0"
12/21/2020,"0.113%","0.133%","0.061%","0.125%","0"
12/18/2020,"0.125%","0.153%","0.101%","0.113%","0"
12/17/2020,"0.125%","0.149%","0.105%","0.125%","0"
12/16/2020,"0.121%","0.141%","0.105%","0.125%","0"
12/15/2020,"0.121%","0.129%","0.105%","0.121%","0"
12/14/2020,"0.125%","0.137%","0.101%","0.121%","0"
12/11/2020,"0.137%","0.149%","0.113%","0.125%","0"
12/10/2020,"0.149%","0.161%","0.125%","0.137%","0"
12/09/2020,"0.157%","0.169%","0.137%","0.149%","0"
12/08/2020,"0.149%","0.165%","0.121%","0.157%","0"
12/07/2020,"0.149%","0.161%","0.129%","0.149%","0"
12/04/2020,"0.153%","0.169%","0.137%","0.149%","0"
12/03/2020,"0.172%","0.172%","0.137%","0.153%","0"
12/02/2020,"0.176%","0.180%","0.141%","0.172%","0"
12/01/2020,"0.145%","0.196%","0.141%","0.176%","0"
11/30/2020,"0.156%","0.164%","0.137%","0.145%","0"
11/27/2020,"0.168%","0.168%","0.141%","0.156%","0"
11/25/2020,"0.160%","0.176%","0.145%","0.168%","0"
11/24/2020,"0.164%","0.176%","0.148%","0.160%","0"
11/23/2020,"0.157%","0.178%","0.149%","0.164%","0"
11/20/2020,"0.161%","0.182%","0.145%","0.157%","0"
11/19/2020,"0.177%","0.185%","0.149%","0.161%","0"
11/18/2020,"0.181%","0.185%","0.157%","0.177%","0"
11/17/2020,"0.189%","0.189%","0.153%","0.181%","0"
11/16/2020,"0.181%","0.201%","0.165%","0.189%","0"
11/13/2020,"0.177%","0.193%","0.165%","0.181%","0"
11/12/2020,"0.189%","0.193%","0.161%","0.177%","0"
11/10/2020,"0.177%","0.205%","0.169%","0.189%","0"
11/09/2020,"0.165%","0.197%","0.145%","0.157%","0"
11/06/2020,"0.157%","0.177%","0.141%","0.165%","0"
11/05/2020,"0.149%","0.172%","0.137%","0.157%","0"
11/04/2020,"0.168%","0.184%","0.094%","0.149%","0"
11/03/2020,"0.168%","0.180%","0.157%","0.168%","0"
11/02/2020,"0.176%","0.176%","0.149%","0.168%","0"
10/30/2020,"0.152%","0.180%","0.137%","0.176%","0"
10/29/2020,"0.152%","0.176%","0.137%","0.152%","0"
10/28/2020,"0.149%","0.160%","0.133%","0.152%","0"
10/27/2020,"0.154%","0.166%","0.137%","0.149%","0"
10/26/2020,"0.170%","0.186%","0.141%","0.154%","0"
10/23/2020,"0.178%","0.190%","0.137%","0.170%","0"
10/22/2020,"0.153%","0.178%","0.137%","0.178%","0"
10/21/2020,"0.149%","0.161%","0.137%","0.153%","0"
10/20/2020,"0.161%","0.169%","0.133%","0.149%","0"
10/19/2020,"0.145%","0.165%","0.141%","0.161%","0"
10/16/2020,"0.145%","0.165%","0.125%","0.145%","0"
10/15/2020,"0.141%","0.149%","0.125%","0.145%","0"
10/14/2020,"0.145%","0.157%","0.125%","0.141%","0"
10/13/2020,"0.157%","0.169%","0.121%","0.145%","0"
10/11/2020,"0.157%","0.157%","0.157%","0.157%","0"
10/09/2020,"0.153%","0.173%","0.137%","0.157%","0"
10/08/2020,"0.157%","0.188%","0.113%","0.153%","0"
10/07/2020,"0.153%","0.184%","0.145%","0.157%","0"
10/06/2020,"0.145%","0.172%","0.121%","0.153%","0"
10/05/2020,"0.129%","0.157%","0.125%","0.145%","0"
10/02/2020,"0.133%","0.149%","0.117%","0.129%","0"
10/01/2020,"0.152%","0.152%","0.117%","0.133%","0"
09/30/2020,"0.141%","0.156%","0.098%","0.152%","0"
09/29/2020,"0.125%","0.145%","0.109%","0.141%","0"
09/28/2020,"0.137%","0.145%","0.109%","0.125%","0"
09/25/2020,"0.160%","0.160%","0.113%","0.137%","0"
09/24/2020,"0.144%","0.164%","0.133%","0.160%","0"
09/23/2020,"0.137%","0.148%","0.125%","0.144%","0"
09/22/2020,"0.141%","0.161%","0.117%","0.137%","0"
09/21/2020,"0.141%","0.149%","0.109%","0.141%","0"
09/18/2020,"0.137%","0.149%","0.117%","0.141%","0"
09/17/2020,"0.145%","0.149%","0.109%","0.137%","0"
09/16/2020,"0.141%","0.161%","0.121%","0.145%","0"
09/15/2020,"0.149%","0.153%","0.125%","0.141%","0"
09/14/2020,"0.129%","0.149%","0.117%","0.149%","0"
09/11/2020,"0.141%","0.153%","0.121%","0.129%","0"
09/10/2020,"0.129%","0.161%","0.129%","0.141%","0"
09/09/2020,"0.145%","0.161%","0.117%","0.129%","0"
09/08/2020,"0.149%","0.153%","0.125%","0.145%","0"
09/06/2020,"0.149%","0.149%","0.149%","0.149%","0"
09/04/2020,"0.133%","0.161%","0.121%","0.149%","0"
09/03/2020,"0.141%","0.149%","0.109%","0.133%","0"
09/02/2020,"0.125%","0.156%","0.117%","0.141%","0"
09/01/2020,"0.121%","0.153%","0.105%","0.125%","0"
08/31/2020,"0.156%","0.156%","0.105%","0.121%","0"
08/28/2020,"0.152%","0.180%","0.109%","0.156%","0"
08/27/2020,"0.152%","0.172%","0.106%","0.152%","0"
08/26/2020,"0.152%","0.172%","0.121%","0.152%","0"
08/25/2020,"0.153%","0.178%","0.137%","0.152%","0"
08/24/2020,"0.170%","0.170%","0.125%","0.153%","0"
08/21/2020,"0.145%","0.186%","0.129%","0.170%","0"
08/20/2020,"0.145%","0.153%","0.113%","0.145%","0"
08/19/2020,"0.145%","0.161%","0.129%","0.145%","0"
08/18/2020,"0.177%","0.177%","0.125%","0.145%","0"
08/17/2020,"0.157%","0.201%","0.121%","0.177%","0"
08/14/2020,"0.189%","0.189%","0.129%","0.149%","0"
08/13/2020,"0.185%","0.201%","0.149%","0.189%","0"
08/12/2020,"0.153%","0.193%","0.137%","0.185%","0"
08/11/2020,"0.133%","0.169%","0.129%","0.153%","0"
08/10/2020,"0.137%","0.141%","0.109%","0.133%","0"
08/07/2020,"0.121%","0.149%","0.105%","0.137%","0"
08/06/2020,"0.117%","0.133%","0.090%","0.121%","0"
08/05/2020,"0.097%","0.129%","0.097%","0.117%","0"
08/04/2020,"0.109%","0.125%","0.086%","0.097%","0"
08/03/2020,"0.113%","0.121%","0.094%","0.109%","0"
07/31/2020,"0.121%","0.129%","0.101%","0.113%","0"
07/30/2020,"0.137%","0.141%","0.117%","0.121%","0"
07/29/2020,"0.137%","0.148%","0.125%","0.137%","0"
07/28/2020,"0.158%","0.160%","0.129%","0.137%","0"
07/27/2020,"0.145%","0.162%","0.137%","0.158%","0"
07/24/2020,"0.141%","0.162%","0.129%","0.145%","0"
07/23/2020,"0.161%","0.161%","0.125%","0.141%","0"
07/22/2020,"0.161%","0.165%","0.125%","0.161%","0"
07/21/2020,"0.169%","0.169%","0.109%","0.161%","0"
07/20/2020,"0.145%","0.173%","0.125%","0.169%","0"
07/17/2020,"0.145%","0.173%","0.125%","0.145%","0"
07/16/2020,"0.165%","0.169%","0.125%","0.145%","0"
07/15/2020,"0.169%","0.173%","0.137%","0.165%","0"
07/14/2020,"0.129%","0.173%","0.129%","0.169%","0"
07/13/2020,"0.165%","0.177%","0.125%","0.129%","0"
07/10/2020,"0.165%","0.181%","0.129%","0.165%","0"
07/09/2020,"0.177%","0.177%","0.141%","0.165%","0"
07/08/2020,"0.161%","0.181%","0.149%","0.177%","0"
07/07/2020,"0.161%","0.180%","0.141%","0.161%","0"
07/06/2020,"0.156%","0.180%","0.133%","0.161%","0"
07/02/2020,"0.172%","0.180%","0.133%","0.156%","0"
07/01/2020,"0.149%","0.184%","0.133%","0.172%","0"
06/30/2020,"0.160%","0.164%","0.133%","0.149%","0"
06/29/2020,"0.168%","0.176%","0.152%","0.160%","0"
06/26/2020,"0.195%","0.195%","0.152%","0.168%","0"
06/25/2020,"0.187%","0.195%","0.160%","0.195%","0"
06/24/2020,"0.191%","0.207%","0.176%","0.187%","0"
06/23/2020,"0.190%","0.214%","0.178%","0.191%","0"
06/22/2020,"0.198%","0.206%","0.165%","0.190%","0"
06/19/2020,"0.197%","0.210%","0.165%","0.198%","0"
06/18/2020,"0.197%","0.209%","0.177%","0.197%","0"
06/17/2020,"0.217%","0.217%","0.169%","0.197%","0"
06/16/2020,"0.201%","0.221%","0.181%","0.217%","0"
06/15/2020,"0.205%","0.217%","0.173%","0.201%","0"
06/12/2020,"0.201%","0.225%","0.169%","0.205%","0"
06/11/2020,"0.181%","0.217%","0.153%","0.201%","0"
06/10/2020,"0.212%","0.212%","0.169%","0.181%","0"
06/09/2020,"0.228%","0.236%","0.189%","0.212%","0"
06/08/2020,"0.212%","0.244%","0.196%","0.228%","0"
06/05/2020,"0.204%","0.240%","0.184%","0.212%","0"
06/04/2020,"0.200%","0.220%","0.168%","0.204%","0"
06/03/2020,"0.164%","0.212%","0.160%","0.200%","0"
06/02/2020,"0.156%","0.188%","0.149%","0.164%","0"
06/01/2020,"0.160%","0.188%","0.133%","0.156%","0"
05/29/2020,"0.156%","0.188%","0.145%","0.160%","0"
05/28/2020,"0.184%","0.199%","0.152%","0.156%","0"
05/27/2020,"0.176%","0.195%","0.148%","0.184%","0"
05/26/2020,"0.174%","0.210%","0.158%","0.176%","0"
05/24/2020,"0.174%","0.174%","0.174%","0.174%","0"
05/22/2020,"0.157%","0.194%","0.137%","0.174%","0"
05/21/2020,"0.161%","0.186%","0.137%","0.157%","0"
05/20/2020,"0.161%","0.194%","0.149%","0.161%","0"
05/19/2020,"0.173%","0.189%","0.145%","0.161%","0"
05/18/2020,"0.149%","0.201%","0.133%","0.173%","0"
05/15/2020,"0.149%","0.165%","0.129%","0.149%","0"
05/14/2020,"0.161%","0.173%","0.125%","0.149%","0"
05/13/2020,"0.165%","0.173%","0.133%","0.161%","0"
05/12/2020,"0.181%","0.189%","0.141%","0.165%","0"
05/11/2020,"0.161%","0.201%","0.133%","0.181%","0"
05/08/2020,"0.129%","0.173%","0.085%","0.161%","0"
05/07/2020,"0.184%","0.196%","0.101%","0.129%","0"
05/06/2020,"0.176%","0.204%","0.161%","0.184%","0"
05/05/2020,"0.188%","0.208%","0.157%","0.176%","0"
05/04/2020,"0.200%","0.204%","0.157%","0.188%","0"
05/01/2020,"0.192%","0.220%","0.168%","0.200%","0"
04/30/2020,"0.203%","0.207%","0.164%","0.192%","0"
04/29/2020,"0.235%","0.235%","0.180%","0.203%","0"
04/28/2020,"0.212%","0.235%","0.176%","0.235%","0"
04/27/2020,"0.225%","0.253%","0.196%","0.212%","0"
04/24/2020,"0.233%","0.237%","0.192%","0.225%","0"
04/23/2020,"0.217%","0.241%","0.201%","0.233%","0"
04/22/2020,"0.205%","0.233%","0.185%","0.217%","0"
04/21/2020,"0.214%","0.230%","0.177%","0.205%","0"
04/20/2020,"0.202%","0.226%","0.186%","0.214%","0"
04/17/2020,"0.219%","0.246%","0.186%","0.202%","0"
04/16/2020,"0.211%","0.235%","0.175%","0.219%","0"
04/15/2020,"0.215%","0.235%","0.187%","0.211%","0"
04/14/2020,"0.243%","0.263%","0.207%","0.215%","0"
04/13/2020,"0.220%","0.267%","0.207%","0.243%","0"
04/09/2020,"0.256%","0.263%","0.196%","0.220%","0"
04/08/2020,"0.268%","0.292%","0.232%","0.256%","0"
04/07/2020,"0.268%","0.308%","0.260%","0.268%","0"
04/06/2020,"0.225%","0.320%","0.225%","0.268%","0"
04/03/2020,"0.233%","0.253%","0.182%","0.225%","0"
04/02/2020,"0.210%","0.245%","0.198%","0.233%","0"
04/01/2020,"0.246%","0.261%","0.206%","0.210%","0"
03/31/2020,"0.230%","0.261%","0.191%","0.246%","0"
03/30/2020,"0.246%","0.301%","0.207%","0.230%","0"
03/27/2020,"0.309%","0.309%","0.226%","0.246%","0"
03/26/2020,"0.336%","0.340%","0.258%","0.309%","0"
03/25/2020,"0.363%","0.391%","0.309%","0.336%","0"
03/24/2020,"0.318%","0.410%","0.297%","0.390%","0"
03/23/2020,"0.344%","0.344%","0.226%","0.318%","0"
03/20/2020,"0.483%","0.483%","0.287%","0.344%","0"
03/19/2020,"0.548%","0.551%","0.339%","0.483%","0"
03/18/2020,"0.493%","0.552%","0.400%","0.548%","0"
03/17/2020,"0.362%","0.525%","0.337%","0.493%","0"
03/16/2020,"0.506%","0.506%","0.267%","0.362%","0"
03/13/2020,"0.473%","0.550%","0.419%","0.506%","0"
03/12/2020,"0.533%","0.533%","0.311%","0.473%","0"
03/11/2020,"0.542%","0.549%","0.407%","0.533%","0"
03/10/2020,"0.397%","0.562%","0.392%","0.542%","0"
03/09/2020,"0.528%","0.528%","0.243%","0.397%","0"
03/06/2020,"0.601%","0.603%","0.398%","0.528%","0"
03/05/2020,"0.697%","0.697%","0.550%","0.601%","0"
03/04/2020,"0.697%","0.712%","0.606%","0.697%","0"
03/03/2020,"0.911%","0.915%","0.618%","0.697%","0"
03/02/2020,"0.927%","0.927%","0.710%","0.911%","0"
02/28/2020,"1.066%","1.081%","0.840%","0.927%","0"
02/27/2020,"1.173%","1.173%","1.046%","1.153%","0"
02/26/2020,"1.227%","1.227%","1.133%","1.173%","0"
02/25/2020,"1.252%","1.301%","1.169%","1.227%","0"
02/24/2020,"1.350%","1.363%","1.235%","1.252%","0"
02/21/2020,"1.391%","1.404%","1.317%","1.350%","0"
02/20/2020,"1.424%","1.440%","1.371%","1.391%","0"
02/19/2020,"1.408%","1.440%","1.404%","1.424%","0"
02/18/2020,"1.424%","1.424%","1.383%","1.408%","0"
02/16/2020,"1.424%","1.424%","1.424%","1.424%","0"
02/14/2020,"1.444%","1.452%","1.403%","1.424%","0"
02/13/2020,"1.444%","1.464%","1.395%","1.444%","0"
02/12/2020,"1.432%","1.460%","1.419%","1.444%","0"
02/11/2020,"1.403%","1.432%","1.395%","1.432%","0"
02/10/2020,"1.403%","1.423%","1.367%","1.403%","0"
02/07/2020,"1.459%","1.480%","1.383%","1.403%","0"
02/06/2020,"1.447%","1.471%","1.295%","1.459%","0"
02/05/2020,"1.415%","1.463%","1.375%","1.447%","0"
02/04/2020,"1.351%","1.431%","1.347%","1.415%","0"
02/03/2020,"1.323%","1.383%","1.323%","1.351%","0"
