,Close_US2YearTreasuryNotes,Close_LIBOREUR,Close_BrentCrude,Close_bergenTemperatureDaily,Close_AluminumMWUSTransactionPr,Close_NorwayInterestRates3months
2122,0.234,0.02357,99.65,6.3,0.115,1.69
2123,0.234,0.02357,99.65,8.2,0.115,1.69
79,0.226,0.02357,100.39,5.8,0.115,1.62
80,0.234,0.02357,100.31,7.1,0.115,1.58
81,0.23,0.02357,101.73,6.2,0.115,1.58
82,0.242,0.02357,103.41,5.2,0.115,1.58
83,0.223,0.02357,103.16,4.3,0.115,1.57
2124,0.223,0.02357,103.16,5.3,0.115,1.57
2125,0.223,0.02357,103.16,4.4,0.115,1.57
84,0.215,0.02357,103.81,5.0,0.115,1.53
85,0.215,0.02786,102.37,5.2,0.115,1.47
86,0.208,0.02786,99.95,4.2,0.1175,1.47
87,0.2,0.02357,102.85,4.2,0.1175,1.55
88,0.224,0.02357,104.19,3.5,0.1175,1.52
2126,0.224,0.02357,104.19,5.2,0.1175,1.52
2127,0.224,0.02357,104.19,8.4,0.1175,1.52
89,0.224,0.02357,105.46,10.6,0.1175,1.49
90,0.224,0.02357,104.4,9.8,0.1175,1.55
91,0.236,0.02357,104.34,12.2,0.1175,1.54
92,0.232,0.02357,104.47,10.2,0.115,1.54
93,0.253,0.02357,103.91,9.1,0.1175,1.55
2128,0.253,0.02357,103.91,8.1,0.1175,1.55
2129,0.253,0.02357,103.91,8.5,0.1175,1.55
94,0.249,0.02357,102.82,7.1,0.12,1.56
95,0.257,0.02357,102.6,8.3,0.12,1.51
96,0.249,0.02357,103.68,9.4,0.12,1.48
97,0.241,0.02357,103.8,10.9,0.12,1.45
98,0.254,0.02357,104.64,14.0,0.12,1.45
2130,0.254,0.02357,104.64,20.1,0.12,1.45
2131,0.254,0.02357,104.64,19.9,0.12,1.45
99,0.246,0.02357,104.8,17.9,0.12,1.45
100,0.25,0.02357,103.91,10.5,0.12,1.48
101,0.263,0.02214,102.6,9.1,0.12,1.4
102,0.263,0.02357,102.44,11.8,0.12,1.41
103,0.259,0.025,102.64,10.9,0.12,1.37
2132,0.259,0.025,102.64,10.0,0.12,1.37
2133,0.259,0.025,102.64,11.0,0.12,1.37
104,0.259,0.025,102.62,13.5,0.12,1.41
105,0.305,0.025,104.23,16.8,0.12,1.4
106,0.297,0.025,102.43,21.3,0.12,1.49
107,0.305,0.025,102.19,17.9,0.12,1.5
108,0.305,0.03571,100.39,15.9,0.12,1.44
2134,0.305,0.03571,100.39,10.8,0.12,1.44
2135,0.305,0.03571,100.39,9.9,0.12,1.44
109,0.297,0.02643,102.06,11.6,0.12,1.46
110,0.309,0.025,103.24,13.6,0.12,1.45
111,0.297,0.025,103.04,12.0,0.12,1.47
112,0.302,0.02786,103.61,11.2,0.1225,1.44
113,0.314,0.02786,104.56,11.2,0.1225,1.43
2136,0.314,0.02786,104.56,10.9,0.1225,1.43
2137,0.314,0.02786,104.56,13.2,0.1225,1.43
114,0.322,0.02786,103.95,15.4,0.1225,1.41
115,0.33,0.02786,102.96,14.2,0.1225,1.42
116,0.33,0.02857,103.49,13.5,0.1225,1.42
117,0.294,0.02857,104.25,13.3,0.1225,1.41
118,0.286,0.02857,105.93,12.2,0.1225,1.4
2138,0.286,0.02857,105.93,14.0,0.1225,1.4
2139,0.286,0.02857,105.93,14.8,0.1225,1.4
119,0.278,0.02857,105.47,13.2,0.1225,1.42
120,0.27,0.02929,106.02,14.0,0.1225,1.47
121,0.315,0.03071,106.12,15.1,0.1225,1.39
122,0.335,0.03143,102.15,14.9,0.1225,1.46
123,0.38,0.03143,100.91,13.3,0.1225,1.47
2140,0.38,0.03143,100.91,14.5,0.1225,1.47
2141,0.38,0.03143,100.91,14.4,0.1225,1.47
124,0.384,0.03286,101.16,13.3,0.1225,1.49
125,0.434,0.03429,101.26,13.0,0.1225,1.45
126,0.383,0.03429,101.66,14.2,0.1225,1.38
127,0.367,0.04,102.82,16.6,0.1225,1.48
128,0.359,0.12429,102.16,14.3,0.1225,1.48
2142,0.359,0.12429,102.16,11.9,0.1225,1.48
2143,0.359,0.12429,102.16,13.1,0.1225,1.48
129,0.359,0.04,103.0,12.9,0.125,1.52
130,0.351,0.04,104.0,12.5,0.125,1.46
131,0.363,0.03929,105.76,13.5,0.125,1.52
132,0.363,0.04286,105.54,14.5,0.125,1.48
133,0.399,0.04,107.72,14.3,0.125,1.51
2144,0.399,0.04,107.72,16.6,0.125,1.51
2145,0.399,0.04,107.72,14.8,0.125,1.51
134,0.363,0.04,107.43,14.1,0.125,1.44
135,0.375,0.04,107.81,12.8,0.125,1.48
136,0.355,0.04143,108.51,13.6,0.125,1.44
137,0.331,0.04143,107.73,14.2,0.125,1.5
138,0.343,0.04143,108.81,15.4,0.125,1.44
2146,0.343,0.04143,108.81,13.0,0.125,1.44
2147,0.343,0.04143,108.81,11.8,0.125,1.44
139,0.331,0.04143,109.09,12.5,0.125,1.45
140,0.327,0.04,109.4,13.5,0.125,1.51
141,0.303,0.04,108.61,15.2,0.125,1.4
142,0.307,0.03857,108.7,13.6,0.125,1.5
143,0.302,0.03857,108.07,15.1,0.125,1.41
2148,0.302,0.03857,108.07,16.6,0.125,1.41
2149,0.302,0.03857,108.07,17.6,0.125,1.41
144,0.294,0.04,108.15,18.3,0.125,1.46
145,0.328,0.04357,108.42,19.7,0.125,1.47
146,0.351,0.045,107.19,20.1,0.125,1.5
147,0.328,0.045,107.65,20.4,0.125,1.49
148,0.324,0.045,107.17,20.4,0.125,1.47
2150,0.324,0.045,107.17,18.6,0.125,1.47
2151,0.324,0.045,107.17,18.0,0.125,1.47
149,0.328,0.045,107.45,18.3,0.125,1.46
150,0.328,0.04357,106.91,16.4,0.125,1.47
151,0.321,0.05714,107.7,14.9,0.125,1.49
152,0.337,0.04714,109.54,15.8,0.125,1.44
153,0.305,0.04357,108.95,21.5,0.125,1.45
2152,0.305,0.04357,108.95,18.3,0.125,1.45
2153,0.305,0.04357,108.95,16.5,0.125,1.45
154,0.313,0.04357,108.7,16.0,0.125,1.44
155,0.313,0.045,108.18,15.1,0.125,1.49
156,0.317,0.04214,107.44,14.1,0.125,1.5
157,0.31,0.04071,106.68,15.5,0.125,1.51
158,0.306,0.04071,108.22,14.9,0.125,1.5
2154,0.306,0.04071,108.22,15.0,0.125,1.5
2155,0.306,0.04071,108.22,12.9,0.125,1.5
159,0.318,0.04071,108.97,12.2,0.10125,1.54
160,0.346,0.04071,109.82,13.2,0.125,1.51
161,0.338,0.04143,110.2,13.1,0.125,1.58
162,0.358,0.04071,111.11,14.9,0.125,1.55
163,0.355,0.04071,110.4,15.3,0.125,1.53
2156,0.355,0.04071,110.4,14.3,0.125,1.53
2157,0.355,0.04071,110.4,14.5,0.125,1.53
164,0.359,0.04071,109.9,14.2,0.125,1.52
165,0.347,0.04071,110.15,14.2,0.125,1.55
166,0.379,0.04071,109.81,14.6,0.125,1.54
167,0.4,0.04071,109.9,15.3,0.125,1.55
168,0.384,0.04071,111.04,17.1,0.125,1.52
2158,0.384,0.04071,111.04,19.0,0.125,1.52
2159,0.384,0.04071,111.04,16.4,0.125,1.52
169,0.376,0.04071,110.73,16.5,0.125,1.55
170,0.379,0.04071,114.36,16.5,0.125,1.55
171,0.399,0.04071,116.61,13.1,0.125,1.55
172,0.403,0.04071,115.16,13.5,0.125,1.55
173,0.403,0.05429,114.01,15.5,0.125,1.55
2160,0.403,0.05429,114.01,12.3,0.125,1.55
2161,0.403,0.05429,114.01,10.6,0.125,1.55
174,0.403,0.045,114.33,13.0,0.125,1.55
175,0.422,0.045,115.68,13.5,0.125,1.56
176,0.478,0.045,114.91,16.4,0.125,1.56
177,0.526,0.04357,115.26,17.7,0.125,1.55
178,0.467,0.04357,116.12,15.3,0.125,1.47
2162,0.467,0.04357,116.12,16.6,0.125,1.47
2163,0.467,0.04357,116.12,16.4,0.125,1.47
179,0.451,0.04357,113.72,14.9,0.125,1.51
180,0.471,0.04357,111.25,15.7,0.125,1.48
181,0.451,0.04286,111.5,15.0,0.125,1.5
182,0.447,0.04286,112.63,14.7,0.125,1.51
183,0.439,0.04286,112.78,13.3,0.125,1.51
2164,0.439,0.04286,112.78,12.5,0.125,1.51
2165,0.439,0.04286,112.78,11.5,0.125,1.51
184,0.395,0.04286,110.07,10.1,0.125,1.39
185,0.383,0.04286,108.19,11.5,0.125,1.46
186,0.327,0.04071,110.6,9.0,0.125,1.48
187,0.343,0.04,108.76,10.6,0.125,1.51
188,0.339,0.04,109.22,11.2,0.125,1.51
2166,0.339,0.04,109.22,11.9,0.125,1.51
2167,0.339,0.04,109.22,12.2,0.125,1.51
189,0.339,0.04,108.16,11.5,0.12,1.52
190,0.347,0.04143,108.64,10.5,0.115,1.53
191,0.344,0.04143,108.32,10.3,0.11,1.51
192,0.352,0.04143,109.21,8.7,0.105,1.51
193,0.348,0.04286,108.63,8.0,0.1,1.51
2168,0.348,0.04286,108.63,9.3,0.1,1.51
2169,0.348,0.04286,108.63,11.2,0.1,1.51
194,0.333,0.08143,108.37,10.9,0.1,1.53
195,0.344,0.04571,107.94,9.5,0.1,1.53
196,0.333,0.04571,109.19,9.9,0.1,1.52
197,0.321,0.04571,109.0,11.7,0.1,1.53
198,0.345,0.04571,109.46,13.4,0.1,1.53
2170,0.345,0.04571,109.46,11.3,0.1,1.53
2171,0.345,0.04571,109.46,12.2,0.1,1.53
199,0.353,0.04571,109.68,13.4,0.1,1.53
200,0.385,0.04429,110.16,13.2,0.1,1.53
201,0.373,0.04429,109.06,9.5,0.1,1.53
202,0.358,0.04571,111.8,9.5,0.1,1.53
203,0.358,0.04571,111.28,7.4,0.1,1.53
2172,0.358,0.04571,111.28,8.3,0.1,1.53
2173,0.358,0.04571,111.28,10.0,0.1,1.53
204,0.358,0.04429,111.04,8.9,0.1,1.53
205,0.362,0.04571,109.96,9.3,0.1,1.53
206,0.338,0.04571,110.86,9.6,0.1,1.53
207,0.322,0.04571,109.11,7.3,0.1,1.55
208,0.323,0.04571,109.94,4.8,0.1,1.57
2174,0.323,0.04571,109.94,4.9,0.1,1.57
2175,0.323,0.04571,109.94,7.0,0.1,1.57
209,0.319,0.04571,109.64,9.0,0.1,1.57
210,0.299,0.04571,109.97,12.2,0.1,1.57
211,0.319,0.04571,107.8,13.4,0.1,1.57
212,0.315,0.04571,106.99,9.0,0.1,1.57
213,0.311,0.04786,106.93,8.4,0.1,1.55
2176,0.311,0.04786,106.93,10.5,0.1,1.55
2177,0.311,0.04786,106.93,10.7,0.1,1.55
214,0.32,0.04643,109.61,9.8,0.0875,1.56
215,0.317,0.04786,109.01,8.2,0.0875,1.55
216,0.321,0.05286,109.86,7.6,0.0875,1.55
217,0.313,0.15214,108.84,8.8,0.0875,1.56
218,0.321,0.05,105.91,7.9,0.0875,1.55
2178,0.321,0.05,105.91,7.2,0.0875,1.55
2179,0.321,0.05,105.91,9.3,0.0875,1.55
219,0.305,0.05143,106.23,5.1,0.1,1.53
220,0.313,0.05,105.33,6.4,0.1,1.5
221,0.302,0.05,105.24,5.4,0.1,1.48
222,0.298,0.05,103.46,5.2,0.1,1.45
223,0.318,0.04857,105.12,6.7,0.1,1.44
2180,0.318,0.04857,105.12,5.5,0.1,1.44
2181,0.318,0.04857,105.12,3.6,0.1,1.44
224,0.29,0.05,106.4,5.3,0.1,1.45
225,0.334,0.05,105.81,6.9,0.1,1.44
226,0.306,0.05,107.12,6.0,0.1,1.44
